"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC","grupo"
"08001",2,1,1,6,1875,1,1,1,NA,0,"08"
"08001",1,1,1,8,1905,1,1,1,NA,0,"08"
"08001",2,1,1,6,1921,1,1,1,NA,0,"08"
"08001",1,1,1,4,1978,1,1,1,NA,0,"08"
"08001",2,1,1,3,1987,1,1,1,NA,0,"08"
"08001",1,1,1,6,1999,1,1,1,NA,0,"08"
"08001",2,1,1,3,2007,1,1,1,NA,0,"08"
"08001",2,1,1,5,2023,1,1,1,NA,0,"08"
"08001",1,1,1,6,2026,1,1,1,NA,0,"08"
"08001",2,1,1,2,2045,1,1,1,NA,0,"08"
"08001",1,1,1,4,2067,1,1,1,NA,0,"08"
"08001",2,1,1,3,2068,1,1,1,NA,0,"08"
"08001",1,1,1,5,2102,1,1,1,NA,0,"08"
"08001",1,1,1,3,2108,1,1,1,NA,0,"08"
"08001",2,1,1,3,2135,1,1,1,NA,0,"08"
"08001",2,1,1,5,2139,1,1,1,NA,0,"08"
"08001",2,1,1,2,2163,1,1,1,NA,0,"08"
"08001",2,1,1,3,2193,1,1,1,NA,0,"08"
"08001",1,1,2,4,2527,1,1,1,NA,0,"08"
"08001",1,1,2,4,2540,1,1,1,NA,0,"08"
"08001",1,1,2,6,2543,1,1,1,NA,0,"08"
"08001",1,1,2,4,2553,1,1,1,NA,0,"08"
"08001",1,1,2,2,2560,1,1,1,NA,0,"08"
"08001",1,1,2,3,2573,1,1,1,NA,0,"08"
"08001",1,1,2,3,2580,1,1,1,NA,0,"08"
"08001",1,1,2,8,2611,1,1,1,NA,0,"08"
"08001",1,1,2,5,2630,1,1,1,NA,0,"08"
"08001",1,1,2,8,2655,1,1,1,NA,0,"08"
"08001",1,1,2,3,2657,1,1,1,NA,0,"08"
"08001",1,1,2,5,2684,1,1,1,NA,0,"08"
"08001",1,1,2,6,2699,1,1,1,NA,0,"08"
"08001",1,1,2,3,3106,1,1,1,NA,0,"08"
"08758",2,1,2,3,3125,1,1,1,NA,0,"08"
"08001",1,1,2,6,3171,1,1,1,NA,0,"08"
"08001",1,1,2,5,3187,1,1,1,NA,0,"08"
"08758",1,1,2,4,3205,1,1,1,NA,0,"08"
"08001",3,1,2,2,3213,1,1,1,NA,0,"08"
"08758",2,1,2,8,3223,1,1,1,NA,0,"08"
"08001",2,1,2,4,3230,1,1,1,NA,0,"08"
"08758",1,1,2,7,3245,1,1,1,NA,0,"08"
"08001",1,1,2,2,3252,1,1,1,NA,0,"08"
"08001",1,1,2,4,3266,1,1,1,NA,0,"08"
"08758",2,1,2,3,3273,1,1,1,NA,0,"08"
"08001",1,1,2,5,3286,1,1,1,NA,0,"08"
"08758",2,1,2,5,3290,1,1,1,NA,0,"08"
"08758",1,1,2,2,3311,1,1,1,NA,0,"08"
"08001",1,1,2,2,3312,1,1,1,NA,0,"08"
"08758",2,1,2,4,3327,1,1,1,NA,0,"08"
"08001",1,1,2,7,3329,1,1,1,NA,0,"08"
"08001",1,1,2,3,3363,1,1,1,NA,0,"08"
"08001",2,1,2,4,3440,1,1,1,NA,0,"08"
"08001",1,1,2,3,3453,1,1,1,NA,0,"08"
"08001",1,1,1,3,3458,1,1,1,NA,0,"08"
"08001",1,1,1,8,3464,1,1,1,NA,0,"08"
"08001",1,1,2,3,3467,1,1,1,NA,0,"08"
"08001",2,1,1,5,3487,1,1,1,NA,0,"08"
"08001",1,1,2,9,3488,1,1,1,NA,0,"08"
"08001",2,1,2,3,3608,1,1,1,NA,0,"08"
"08001",2,1,1,5,3614,1,1,1,NA,0,"08"
"08001",2,1,2,2,3642,1,1,1,NA,0,"08"
"08758",1,1,2,2,3657,1,1,1,NA,0,"08"
"08758",1,1,2,4,3695,1,1,1,NA,0,"08"
"08758",1,1,1,4,3713,1,1,1,NA,0,"08"
"08758",1,1,2,4,3719,1,1,1,NA,0,"08"
"08758",1,1,1,6,3733,1,1,1,NA,0,"08"
"08758",1,1,2,5,3743,1,1,1,NA,0,"08"
"08001",2,1,1,3,3745,1,1,1,NA,0,"08"
"08758",1,1,1,4,3746,1,1,1,NA,0,"08"
"08001",2,1,1,6,3747,1,1,1,NA,0,"08"
"08758",1,1,2,3,3755,1,1,1,NA,0,"08"
"08758",1,1,2,7,3759,1,1,1,NA,0,"08"
"08758",2,1,1,3,3760,1,1,1,NA,0,"08"
"08001",2,1,1,4,3770,1,1,1,NA,0,"08"
"08758",1,1,1,9,3774,1,1,1,NA,0,"08"
"08758",1,1,2,3,3792,1,1,1,NA,0,"08"
"08001",2,1,1,2,3797,1,1,1,NA,0,"08"
"08758",1,1,2,4,3800,1,1,1,NA,0,"08"
"08758",1,1,1,5,3808,1,1,1,NA,0,"08"
"08758",1,1,2,6,3823,1,1,1,NA,0,"08"
"08758",1,1,2,4,3824,1,1,1,NA,0,"08"
"08758",2,1,1,3,3839,1,1,1,NA,0,"08"
"08001",2,1,1,2,3843,1,1,1,NA,0,"08"
"08758",1,1,2,4,3859,1,1,1,NA,0,"08"
"08001",2,1,1,3,3865,1,1,1,NA,0,"08"
"08758",2,1,1,4,3874,1,1,1,NA,0,"08"
"08758",1,1,2,3,3895,1,1,1,NA,0,"08"
"08001",2,1,1,4,3911,1,1,1,NA,0,"08"
"08758",1,1,2,4,3912,1,1,1,NA,0,"08"
"08758",1,1,1,4,3913,1,1,1,NA,0,"08"
"08758",1,1,2,4,3941,1,1,1,NA,0,"08"
"08001",1,1,1,11,3942,1,1,1,NA,0,"08"
"08758",2,1,1,3,3960,1,1,1,NA,0,"08"
"08001",2,1,1,5,3963,1,1,1,NA,0,"08"
"08758",1,1,2,6,3982,1,1,1,NA,0,"08"
"08758",1,1,2,4,3991,1,1,1,NA,0,"08"
"08001",1,1,1,3,4011,1,1,1,NA,0,"08"
"08758",1,1,2,4,4014,1,1,1,NA,0,"08"
"08758",1,1,1,11,4024,1,1,1,NA,0,"08"
"08758",1,1,2,3,4027,1,1,1,NA,0,"08"
