"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
26,23001,1,1,1,4,1,1,1,NA,0,23,1,1,12,1,40,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,1,2,4,401,1,2,1,1,1,2,61,1,2,2,1,1,1,1,1,1
26,23001,1,1,1,4,1,1,1,NA,0,23,1,1,12,1,40,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,1,2,4,401,1,2,1,1,1,1,42,3,2,1,NA,NA,3,1,3,NA
26,23001,1,1,1,4,1,1,1,NA,0,23,1,1,12,1,40,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,1,2,4,401,1,2,1,1,1,1,60,7,2,2,NA,NA,4,1,4,NA
26,23001,1,1,1,4,1,1,1,NA,0,23,1,1,12,1,40,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,1,2,4,401,1,2,1,1,1,1,56,2,2,2,NA,NA,2,1,2,NA
27,23001,1,1,1,4,1,1,1,NA,0,23,1,4,NA,NA,NA,1,2,3,1,1,3,4,2,3,4,3,2,4,4,4,5,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,4,1,3,305,1,2,1,1,1,2,2,5,2,1,NA,NA,4,1,4,NA
27,23001,1,1,1,4,1,1,1,NA,0,23,1,4,NA,NA,NA,1,2,3,1,1,3,4,2,3,4,3,2,4,4,4,5,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,4,1,3,305,1,2,1,1,1,1,2,5,2,1,NA,NA,3,1,3,NA
27,23001,1,1,1,4,1,1,1,NA,0,23,1,4,NA,NA,NA,1,2,3,1,1,3,4,2,3,4,3,2,4,4,4,5,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,4,1,3,305,1,2,1,1,1,2,53,1,2,2,1,1,1,1,1,1
27,23001,1,1,1,4,1,1,1,NA,0,23,1,4,NA,NA,NA,1,2,3,1,1,3,4,2,3,4,3,2,4,4,4,5,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,4,1,3,305,1,2,1,1,1,2,21,3,3,1,NA,NA,2,1,2,NA
38,23001,1,1,2,11,1,1,1,NA,0,23,1,1,5,5,54,1,3,4,2,2,4,4,3,2,4,3,3,4,4,3,4,4,4,4,1,1,1,1,2,NA,3,1,3,5,6,0,4,409,1,1,3,1,3,1,22,5,2,2,NA,NA,9,1,9,NA
38,23001,1,1,2,11,1,1,1,NA,0,23,1,1,5,5,54,1,3,4,2,2,4,4,3,2,4,3,3,4,4,3,4,4,4,4,1,1,1,1,2,NA,3,1,3,5,6,0,4,409,1,1,3,1,3,2,18,5,2,2,NA,NA,10,1,10,NA
38,23001,1,1,2,11,1,1,1,NA,0,23,1,1,5,5,54,1,3,4,2,2,4,4,3,2,4,3,3,4,4,3,4,4,4,4,1,1,1,1,2,NA,3,1,3,5,6,0,4,409,1,1,3,1,3,2,19,5,2,1,NA,NA,7,1,7,NA
38,23001,1,1,2,11,1,1,1,NA,0,23,1,1,5,5,54,1,3,4,2,2,4,4,3,2,4,3,3,4,4,3,4,4,4,4,1,1,1,1,2,NA,3,1,3,5,6,0,4,409,1,1,3,1,3,2,68,1,3,3,NA,NA,1,1,1,NA
38,23001,1,1,2,11,1,1,1,NA,0,23,1,1,5,5,54,1,3,4,2,2,4,4,3,2,4,3,3,4,4,3,4,4,4,4,1,1,1,1,2,NA,3,1,3,5,6,0,4,409,1,1,3,1,3,2,38,3,3,1,NA,NA,5,1,5,NA
38,23001,1,1,2,11,1,1,1,NA,0,23,1,1,5,5,54,1,3,4,2,2,4,4,3,2,4,3,3,4,4,3,4,4,4,4,1,1,1,1,2,NA,3,1,3,5,6,0,4,409,1,1,3,1,3,1,21,5,2,1,NA,NA,6,1,6,NA
38,23001,1,1,2,11,1,1,1,NA,0,23,1,1,5,5,54,1,3,4,2,2,4,4,3,2,4,3,3,4,4,3,4,4,4,4,1,1,1,1,2,NA,3,1,3,5,6,0,4,409,1,1,3,1,3,2,19,5,2,1,NA,NA,4,1,4,NA
38,23001,1,1,2,11,1,1,1,NA,0,23,1,1,5,5,54,1,3,4,2,2,4,4,3,2,4,3,3,4,4,3,4,4,4,4,1,1,1,1,2,NA,3,1,3,5,6,0,4,409,1,1,3,1,3,1,14,5,2,1,NA,NA,8,1,8,NA
38,23001,1,1,2,11,1,1,1,NA,0,23,1,1,5,5,54,1,3,4,2,2,4,4,3,2,4,3,3,4,4,3,4,4,4,4,1,1,1,1,2,NA,3,1,3,5,6,0,4,409,1,1,3,1,3,1,40,3,3,1,1,1,3,1,3,1
38,23001,1,1,2,11,1,1,1,NA,0,23,1,1,5,5,54,1,3,4,2,2,4,4,3,2,4,3,3,4,4,3,4,4,4,4,1,1,1,1,2,NA,3,1,3,5,6,0,4,409,1,1,3,1,3,2,45,3,3,1,NA,NA,2,1,2,NA
38,23001,1,1,2,11,1,1,1,NA,0,23,1,1,5,5,54,1,3,4,2,2,4,4,3,2,4,3,3,4,4,3,4,4,4,4,1,1,1,1,2,NA,3,1,3,5,6,0,4,409,1,1,3,1,3,1,1,8,2,1,NA,NA,11,1,11,NA
50,23001,1,1,1,5,1,1,1,NA,0,23,1,4,NA,NA,NA,1,3,3,1,1,4,4,4,2,4,3,2,4,3,2,4,3,2,4,1,2,2,NA,2,NA,2,1,2,5,2,3,6,602,1,2,2,1,2,2,14,3,1,1,NA,NA,3,1,3,NA
50,23001,1,1,1,5,1,1,1,NA,0,23,1,4,NA,NA,NA,1,3,3,1,1,4,4,4,2,4,3,2,4,3,2,4,3,2,4,1,2,2,NA,2,NA,2,1,2,5,2,3,6,602,1,2,2,1,2,1,49,1,2,2,NA,NA,1,1,1,NA
50,23001,1,1,1,5,1,1,1,NA,0,23,1,4,NA,NA,NA,1,3,3,1,1,4,4,4,2,4,3,2,4,3,2,4,3,2,4,1,2,2,NA,2,NA,2,1,2,5,2,3,6,602,1,2,2,1,2,2,35,2,2,2,1,1,2,1,2,1
50,23001,1,1,1,5,1,1,1,NA,0,23,1,4,NA,NA,NA,1,3,3,1,1,4,4,4,2,4,3,2,4,3,2,4,3,2,4,1,2,2,NA,2,NA,2,1,2,5,2,3,6,602,1,2,2,1,2,2,11,3,1,1,NA,NA,4,1,4,NA
50,23001,1,1,1,5,1,1,1,NA,0,23,1,4,NA,NA,NA,1,3,3,1,1,4,4,4,2,4,3,2,4,3,2,4,3,2,4,1,2,2,NA,2,NA,2,1,2,5,2,3,6,602,1,2,2,1,2,1,9,3,1,1,NA,NA,5,1,5,NA
51,23001,1,1,1,2,1,1,1,NA,0,23,2,4,NA,NA,NA,1,2,4,1,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1,1,1,1,2,NA,2,1,2,5,6,0,6,602,1,1,2,1,2,1,29,3,2,1,1,1,2,1,2,1
51,23001,1,1,1,2,1,1,1,NA,0,23,2,4,NA,NA,NA,1,2,4,1,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1,1,1,1,2,NA,2,1,2,5,6,0,6,602,1,1,2,1,2,2,59,1,2,2,NA,NA,1,1,1,NA
70,23162,1,1,2,3,1,1,1,NA,0,23,2,3,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,NA,1,9,3,1,3,9,6,0,4,409,NA,NA,3,1,3,2,65,2,3,3,NA,NA,2,1,2,NA
70,23162,1,1,2,3,1,1,1,NA,0,23,2,3,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,NA,1,9,3,1,3,9,6,0,4,409,NA,NA,3,1,3,1,72,1,3,3,NA,NA,1,1,1,NA
