"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
9648,3,2,5001,4,5,1,1,4,9,6,1,2,2,52,7
9648,3,2,5001,4,5,1,1,4,9,6,1,2,2,59,1
9648,3,2,5001,4,5,1,1,4,9,6,1,2,1,56,7
11385,3,2,5266,2,5,1,1,4,9,6,1,2,2,31,3
11385,3,2,5266,2,5,1,1,4,9,6,1,2,2,56,1
11385,3,2,5266,2,5,1,1,4,9,6,1,2,2,9,5
11467,3,2,5001,3,5,1,1,3,9,3,1,2,2,46,1
11467,3,2,5001,3,5,1,1,3,9,3,1,2,2,59,8
11467,3,2,5001,3,5,1,1,3,9,3,1,2,1,29,3
11813,3,2,5380,2,5,1,1,3,9,7,1,1,2,37,1
11813,3,2,5380,2,5,1,1,3,9,7,1,1,1,32,2
11839,3,1,5001,3,5,2,8,3,9,6,1,1,2,77,1
11839,3,1,5001,3,5,2,8,3,9,6,1,1,1,52,3
11839,3,1,5001,3,5,2,8,3,9,6,1,1,1,50,3
11839,3,1,5001,3,5,2,8,3,9,6,1,1,1,38,3
11869,3,2,5001,2,5,1,1,4,5,6,1,1,1,29,1
11869,3,2,5001,2,5,1,1,4,5,6,1,1,2,26,2
11869,3,2,5001,2,5,1,1,4,5,6,1,1,1,3,3
11872,3,2,5045,2,5,1,1,3,5,4,1,1,2,61,1
11872,3,2,5045,2,5,1,1,3,5,4,1,1,1,43,3
12073,3,2,5001,3,5,1,1,4,9,6,1,1,1,41,3
12073,3,2,5001,3,5,1,1,4,9,6,1,1,2,43,3
12073,3,2,5001,3,5,1,1,4,9,6,1,1,2,18,5
12073,3,2,5001,3,5,1,1,4,9,6,1,1,2,76,1
12073,3,2,5001,3,5,1,1,4,9,6,1,1,1,23,5
12440,3,2,5001,2,5,2,1,2,9,3,1,2,2,22,3
12440,3,2,5001,2,5,2,1,2,9,3,1,2,2,53,1
12440,3,2,5001,2,5,2,1,2,9,3,1,2,2,6,5
12440,3,2,5001,2,5,2,1,2,9,3,1,2,2,27,3
12440,3,2,5001,2,5,2,1,2,9,3,1,2,2,5,5
12559,3,2,5001,3,5,2,3,4,9,7,1,1,2,76,2
12559,3,2,5001,3,5,2,3,4,9,7,1,1,1,23,5
12559,3,2,5001,3,5,2,3,4,9,7,1,1,1,75,1
12585,2,1,5001,2,5,2,3,4,9,4,NA,NA,2,43,1
12585,2,1,5001,2,5,2,3,4,9,4,NA,NA,1,2,5
12585,2,1,5001,2,5,2,3,4,9,4,NA,NA,2,17,3
12709,3,1,5579,1,5,1,2,4,9,6,2,2,2,22,1
12729,2,2,5579,2,5,2,8,4,9,3,1,1,1,53,1
12729,2,2,5579,2,5,2,8,4,9,3,1,1,2,66,2
12775,3,1,5001,1,5,1,1,5,9,4,1,1,1,39,3
12775,3,1,5001,1,5,1,1,5,9,4,1,1,2,74,1
13092,3,2,5579,1,5,2,4,3,9,5,1,2,2,19,5
13092,3,2,5579,1,5,2,4,3,9,5,1,2,1,20,5
13092,3,2,5579,1,5,2,4,3,9,5,1,2,2,93,6
13092,3,2,5579,1,5,2,4,3,9,5,1,2,1,57,1
13092,3,2,5579,1,5,2,4,3,9,5,1,2,2,2,5
13092,3,2,5579,1,5,2,4,3,9,5,1,2,2,54,2
13109,3,2,5001,1,5,1,1,5,9,3,1,1,2,24,1
