"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
3795,3,2,5001,3,5,2,4,4,9,6,1,2,1,37,1
3795,3,2,5001,3,5,2,4,4,9,6,1,2,2,7,3
3795,3,2,5001,3,5,2,4,4,9,6,1,2,2,2,3
3809,3,2,5001,2,5,1,1,4,9,6,1,2,2,33,2
3809,3,2,5001,2,5,1,1,4,9,6,1,2,1,33,1
3844,3,2,5001,6,5,1,6,5,9,8,1,1,1,32,3
3844,3,2,5001,6,5,1,6,5,9,8,1,1,2,35,3
3844,3,2,5001,6,5,1,6,5,9,8,1,1,1,64,1
3931,3,2,5001,3,5,1,1,4,9,7,1,2,2,7,3
3931,3,2,5001,3,5,1,1,4,9,7,1,2,1,22,7
3931,3,2,5001,3,5,1,1,4,9,7,1,2,2,5,3
3931,3,2,5001,3,5,1,1,4,9,7,1,2,2,29,1
3934,3,2,5001,4,5,1,1,4,9,7,1,2,2,37,2
3934,3,2,5001,4,5,1,1,4,9,7,1,2,1,37,1
3934,3,2,5001,4,5,1,1,4,9,7,1,2,1,6,3
3934,3,2,5001,4,5,1,1,4,9,7,1,2,2,3,3
4921,3,1,5001,2,5,1,2,4,1,6,1,1,2,65,1
4921,3,1,5001,2,5,1,2,4,1,6,1,1,1,27,5
4984,3,2,5001,2,5,1,1,5,9,4,1,1,2,31,3
4984,3,2,5001,2,5,1,1,5,9,4,1,1,2,59,1
4984,3,2,5001,2,5,1,1,5,9,4,1,1,1,31,3
4984,3,2,5001,2,5,1,1,5,9,4,1,1,1,10,5
5017,3,2,5001,1,5,1,1,3,5,5,1,2,2,22,2
5017,3,2,5001,1,5,1,1,3,5,5,1,2,1,30,1
5052,3,2,5001,3,5,1,1,4,5,5,1,2,1,47,1
5052,3,2,5001,3,5,1,1,4,5,5,1,2,1,49,10
5052,3,2,5001,3,5,1,1,4,5,5,1,2,1,76,6
5052,3,2,5001,3,5,1,1,4,5,5,1,2,2,50,2
5094,3,2,5001,2,5,1,1,4,9,3,1,2,1,41,3
5094,3,2,5001,2,5,1,1,4,9,3,1,2,2,68,1
5094,3,2,5001,2,5,1,1,4,9,3,1,2,1,10,5
5094,3,2,5001,2,5,1,1,4,9,3,1,2,2,38,3
5294,3,1,5001,2,5,1,1,3,9,6,1,1,1,31,3
5294,3,1,5001,2,5,1,1,3,9,6,1,1,2,57,1
5310,3,1,5001,2,5,1,4,2,9,4,1,2,2,53,1
5310,3,1,5001,2,5,1,4,2,9,4,1,2,1,71,2
5310,3,1,5001,2,5,1,4,2,9,4,1,2,2,18,4
5310,3,1,5001,2,5,1,4,2,9,4,1,2,1,1,5
5405,3,2,5001,3,5,2,7,4,9,6,1,1,1,71,1
