"DIRECTORIO","M_01","M_02","M_03","M_04","M_05","M_06","M_07","M_08","M_08_VALOR","M_08_TEXTO","M_09_A","M_09_B","M_09_C","M_09_D","M_09_E","M_09_F","M_09_G","M_09_H","M_09_I","M_10_A","M_10_B","M_10_C","M_10_D","M_10_E","M_10_F","M_10_G","M_10_H","M_10_I","M_10_J","M_10_K","M_10_L","M_10_M","M_10_N","M_10_O","SECUENCIA_ENCUESTA.x.x","SECUENCIA_P.x.x","ORDEN.x.x","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.y.x","SECUENCIA_P.y.x","ORDEN.y.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x.y","SECUENCIA_P.x.y","ORDEN.x.y","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y.y","SECUENCIA_P.y.y","ORDEN.y.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","PER_SELECCIONADA"
1431,3,1,2,2,NA,NA,10,1,3500,"TRES MIL QUINIENTOS PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,5001,2,1,6,3,1,1,1,NA,0,5,1,5,NA,NA,NA,1,1,5,2,2,4,4,3,3,3,3,3,3,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,5,2,7,700,1,1,1,1,1,2,78,6,3,3,NA,NA,2,1,2,NA
1431,3,1,2,2,NA,NA,10,1,3500,"TRES MIL QUINIENTOS PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,5001,2,1,6,3,1,1,1,NA,0,5,1,5,NA,NA,NA,1,1,5,2,2,4,4,3,3,3,3,3,3,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,5,2,7,700,1,1,1,1,1,1,56,8,2,2,NA,NA,3,1,3,NA
1431,3,1,2,2,NA,NA,10,1,3500,"TRES MIL QUINIENTOS PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,5001,2,1,6,3,1,1,1,NA,0,5,1,5,NA,NA,NA,1,1,5,2,2,4,4,3,3,3,3,3,3,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,5,2,7,700,1,1,1,1,1,1,57,1,3,2,1,1,1,1,1,1
1815,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5266,2,1,2,2,1,1,1,NA,0,5,1,1,6,4,82,1,1,5,2,2,2,2,4,4,4,2,2,3,4,4,4,4,4,4,1,9,1,2,2,NA,1,1,1,9,2,2,3,305,1,1,1,1,1,1,64,1,3,3,1,1,1,1,1,1
1815,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5266,2,1,2,2,1,1,1,NA,0,5,1,1,6,4,82,1,1,5,2,2,2,2,4,4,4,2,2,3,4,4,4,4,4,4,1,9,1,2,2,NA,1,1,1,9,2,2,3,305,1,1,1,1,1,2,58,2,2,3,NA,NA,2,1,2,NA
1832,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,2,1,1,1,1,NA,0,5,1,1,5,1,48,1,1,4,2,2,4,4,1,1,2,1,1,2,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,5,0,3,305,1,1,1,1,1,1,51,1,2,2,1,1,1,1,1,1
2499,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5001,1,1,2,4,1,1,1,NA,0,5,1,1,8,4,12,2,NA,3,1,1,2,3,3,4,4,3,2,3,4,2,4,2,2,4,1,1,1,1,1,1,2,1,2,9,5,3,3,305,1,1,2,1,2,2,80,1,2,2,NA,NA,1,1,1,NA
2499,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5001,1,1,2,4,1,1,1,NA,0,5,1,1,8,4,12,2,NA,3,1,1,2,3,3,4,4,3,2,3,4,2,4,2,2,4,1,1,1,1,1,1,2,1,2,9,5,3,3,305,1,1,2,1,2,2,11,5,1,2,NA,NA,4,1,4,NA
2499,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5001,1,1,2,4,1,1,1,NA,0,5,1,1,8,4,12,2,NA,3,1,1,2,3,3,4,4,3,2,3,4,2,4,2,2,4,1,1,1,1,1,1,2,1,2,9,5,3,3,305,1,1,2,1,2,1,33,5,1,2,NA,NA,3,1,3,NA
2499,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5001,1,1,2,4,1,1,1,NA,0,5,1,1,8,4,12,2,NA,3,1,1,2,3,3,4,4,3,2,3,4,2,4,2,2,4,1,1,1,1,1,1,2,1,2,9,5,3,3,305,1,1,2,1,2,1,57,3,2,1,1,1,2,1,2,1
3243,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,3,1,4,1,1,1,1,NA,0,5,1,2,NA,NA,NA,2,NA,4,1,2,4,5,2,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,6,1,4,409,1,1,1,1,1,1,62,1,3,2,1,1,1,1,1,1
3758,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,4,4,1,1,1,NA,0,5,1,1,8,4,40,1,3,4,2,2,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,3,3,3,305,1,1,1,1,1,1,28,3,1,1,NA,NA,3,1,3,NA
3758,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,4,4,1,1,1,NA,0,5,1,1,8,4,40,1,3,4,2,2,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,3,3,3,305,1,1,1,1,1,1,58,1,3,2,1,1,1,1,1,1
3758,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,4,4,1,1,1,NA,0,5,1,1,8,4,40,1,3,4,2,2,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,3,3,3,305,1,1,1,1,1,2,23,3,1,1,NA,NA,4,1,4,NA
3758,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,4,4,1,1,1,NA,0,5,1,1,8,4,40,1,3,4,2,2,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,3,3,3,305,1,1,1,1,1,2,54,2,3,3,NA,NA,2,1,2,NA
3782,3,1,4,1,3,90000,120,1,2000,"DOS MIL",NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,5079,1,1,2,3,1,1,1,NA,0,5,2,7,NA,NA,NA,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,0,4,400,1,1,2,1,2,1,35,3,3,1,1,1,2,1,2,1
3782,3,1,4,1,3,90000,120,1,2000,"DOS MIL",NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,5079,1,1,2,3,1,1,1,NA,0,5,2,7,NA,NA,NA,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,0,4,400,1,1,2,1,2,2,60,1,3,3,NA,NA,1,1,1,NA
3782,3,1,4,1,3,90000,120,1,2000,"DOS MIL",NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,5079,1,1,2,3,1,1,1,NA,0,5,2,7,NA,NA,NA,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,0,4,400,1,1,2,1,2,1,46,7,3,3,NA,NA,3,1,3,NA
4993,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,2,1,1,1,1,NA,0,5,1,1,3,1,36,1,3,3,1,1,4,4,3,4,4,2,3,4,3,4,4,3,4,4,1,1,1,1,1,1,1,1,1,9,5,2,4,407,1,1,1,1,1,1,53,1,3,3,1,1,1,1,1,1
5313,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,3,2,1,1,1,NA,0,5,2,4,NA,NA,NA,1,9,5,2,2,4,4,3,5,3,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,6,0,4,409,1,1,1,1,1,1,61,1,3,3,1,1,1,1,1,1
5313,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,3,2,1,1,1,NA,0,5,2,4,NA,NA,NA,1,9,5,2,2,4,4,3,5,3,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,6,0,4,409,1,1,1,1,1,1,78,8,2,2,NA,NA,2,1,2,NA
6224,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,5001,2,1,2,4,1,1,1,NA,0,5,1,1,8,1,80,1,3,5,2,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,4,1,4,9,6,0,4,409,1,1,4,1,4,2,31,2,2,2,NA,NA,2,1,2,NA
6224,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,5001,2,1,2,4,1,1,1,NA,0,5,1,1,8,1,80,1,3,5,2,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,4,1,4,9,6,0,4,409,1,1,4,1,4,1,14,3,2,1,NA,NA,3,1,3,NA
6224,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,5001,2,1,2,4,1,1,1,NA,0,5,1,1,8,1,80,1,3,5,2,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,4,1,4,9,6,0,4,409,1,1,4,1,4,1,24,10,2,2,1,1,4,1,4,1
6224,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,5001,2,1,2,4,1,1,1,NA,0,5,1,1,8,1,80,1,3,5,2,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,4,1,4,9,6,0,4,409,1,1,4,1,4,1,49,1,2,2,NA,NA,1,1,1,NA
6809,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5001,2,2,NA,2,1,1,1,NA,0,5,1,1,5,4,44,2,NA,4,1,1,3,4,3,3,3,2,2,2,4,4,4,4,4,4,1,2,1,2,1,2,2,1,2,9,6,6,3,305,1,1,2,1,2,2,49,1,3,3,NA,NA,1,1,1,NA
6809,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5001,2,2,NA,2,1,1,1,NA,0,5,1,1,5,4,44,2,NA,4,1,1,3,4,3,3,3,2,2,2,4,4,4,4,4,4,1,2,1,2,1,2,2,1,2,9,6,6,3,305,1,1,2,1,2,1,42,3,3,1,1,1,2,1,2,1
8020,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,3,3,1,1,1,NA,0,5,1,8,NA,NA,NA,1,1,5,1,1,5,4,4,3,4,2,2,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,2,3,5,511,1,1,1,1,1,1,21,3,1,1,NA,NA,3,1,3,NA
8020,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,3,3,1,1,1,NA,0,5,1,8,NA,NA,NA,1,1,5,1,1,5,4,4,3,4,2,2,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,2,3,5,511,1,1,1,1,1,1,52,1,3,2,1,1,1,1,1,1
8020,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,3,3,1,1,1,NA,0,5,1,8,NA,NA,NA,1,1,5,1,1,5,4,4,3,4,2,2,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,2,3,5,511,1,1,1,1,1,2,50,2,2,2,NA,NA,2,1,2,NA
8507,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,3,3,1,1,1,NA,0,5,1,1,5,4,48,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,3,2,3,305,1,1,1,1,1,1,56,1,2,2,1,1,1,1,1,1
8507,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,3,3,1,1,1,NA,0,5,1,1,5,4,48,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,3,2,3,305,1,1,1,1,1,2,53,2,2,2,NA,NA,2,1,2,NA
8507,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,1,1,3,3,1,1,1,NA,0,5,1,1,5,4,48,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,3,2,3,305,1,1,1,1,1,2,14,5,2,3,NA,NA,3,1,3,NA
9544,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,2,1,4,3,1,1,1,NA,0,5,1,1,8,4,40,1,1,4,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,9,1,1,2,NA,1,1,1,9,2,3,5,511,1,1,1,1,1,1,0,3,1,1,NA,NA,3,1,3,NA
9544,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,2,1,4,3,1,1,1,NA,0,5,1,1,8,4,40,1,1,4,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,9,1,1,2,NA,1,1,1,9,2,3,5,511,1,1,1,1,1,1,56,1,2,2,1,1,1,1,1,1
9544,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5001,2,1,4,3,1,1,1,NA,0,5,1,1,8,4,40,1,1,4,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,9,1,1,2,NA,1,1,1,9,2,3,5,511,1,1,1,1,1,2,30,2,2,2,NA,NA,2,1,2,NA
12559,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,5001,1,1,3,3,1,1,1,NA,0,5,2,3,NA,NA,NA,1,1,4,2,2,3,3,3,3,3,2,2,2,3,3,3,4,4,4,1,2,1,2,1,2,3,1,3,9,6,0,7,709,1,1,3,1,3,1,75,1,3,3,NA,NA,1,1,1,NA
12559,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,5001,1,1,3,3,1,1,1,NA,0,5,2,3,NA,NA,NA,1,1,4,2,2,3,3,3,3,3,2,2,2,3,3,3,4,4,4,1,2,1,2,1,2,3,1,3,9,6,0,7,709,1,1,3,1,3,2,76,2,3,3,NA,NA,2,1,2,NA
12559,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,5001,1,1,3,3,1,1,1,NA,0,5,2,3,NA,NA,NA,1,1,4,2,2,3,3,3,3,3,2,2,2,3,3,3,4,4,4,1,2,1,2,1,2,3,1,3,9,6,0,7,709,1,1,3,1,3,1,23,5,2,2,1,1,3,1,3,1
13052,3,1,4,1,4,98,4,1,1000,"mil pesos",NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,5001,1,1,1,1,1,1,1,NA,0,5,1,1,12,4,24,1,1,5,2,2,3,5,4,4,4,1,1,4,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1,9,5,1,3,305,1,1,1,1,1,1,61,1,3,2,1,1,1,1,1,1
13191,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5001,1,1,2,7,1,1,1,NA,0,5,1,1,6,4,20,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,0,4,407,1,1,2,1,2,1,9,3,1,1,NA,NA,6,1,6,NA
