"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
18365,17873,1,1,3,2,1,1,1,NA,0,17,1,5,NA,NA,NA,1,1,5,2,2,4,4,4,4,3,2,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,4,2,7,706,1,2,1,1,1,2,16,3,2,1,NA,NA,2,1,2,NA
18365,17873,1,1,3,2,1,1,1,NA,0,17,1,5,NA,NA,NA,1,1,5,2,2,4,4,4,4,3,2,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,4,2,7,706,1,2,1,1,1,2,48,1,2,2,1,1,1,1,1,1
18378,17174,2,1,4,4,1,1,1,NA,0,17,2,4,NA,NA,NA,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,2,1,2,9,3,2,5,511,1,2,2,1,2,2,13,3,1,1,NA,NA,3,1,3,NA
18378,17174,2,1,4,4,1,1,1,NA,0,17,2,4,NA,NA,NA,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,2,1,2,9,3,2,5,511,1,2,2,1,2,1,11,3,1,1,NA,NA,4,1,4,NA
18378,17174,2,1,4,4,1,1,1,NA,0,17,2,4,NA,NA,NA,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,2,1,2,9,3,2,5,511,1,2,2,1,2,2,37,2,2,2,1,1,2,1,2,1
18378,17174,2,1,4,4,1,1,1,NA,0,17,2,4,NA,NA,NA,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,2,1,2,9,3,2,5,511,1,2,2,1,2,1,42,1,3,2,NA,NA,1,1,1,NA
18423,17174,1,1,4,2,1,1,1,NA,0,17,1,6,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,3,1,3,304,1,1,1,1,1,1,64,1,2,2,1,1,1,1,1,1
18423,17174,1,1,4,2,1,1,1,NA,0,17,1,6,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,3,1,3,304,1,1,1,1,1,2,63,2,2,2,NA,NA,2,1,2,NA
18439,17873,1,1,3,4,1,1,1,NA,0,17,1,6,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,2,4,4,4,4,4,3,4,1,1,1,1,1,1,2,1,2,9,3,1,6,609,1,2,2,1,2,1,71,1,3,3,NA,NA,1,1,1,NA
18439,17873,1,1,3,4,1,1,1,NA,0,17,1,6,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,2,4,4,4,4,4,3,4,1,1,1,1,1,1,2,1,2,9,3,1,6,609,1,2,2,1,2,2,63,2,3,3,1,1,2,1,2,1
18439,17873,1,1,3,4,1,1,1,NA,0,17,1,6,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,2,4,4,4,4,4,3,4,1,1,1,1,1,1,2,1,2,9,3,1,6,609,1,2,2,1,2,2,28,3,1,1,NA,NA,3,1,3,NA
18439,17873,1,1,3,4,1,1,1,NA,0,17,1,6,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,2,4,4,4,4,4,3,4,1,1,1,1,1,1,2,1,2,9,3,1,6,609,1,2,2,1,2,1,20,10,2,2,NA,NA,4,1,4,NA
