"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
46954,3,2,76001,3,1,1,3,5,6,1,1,2,18,3
46954,3,2,76001,3,1,1,3,5,6,1,1,2,16,3
46954,3,2,76001,3,1,1,3,5,6,1,1,1,50,1
47945,3,2,76001,2,2,4,4,9,7,1,2,2,32,2
47945,3,2,76001,2,2,4,4,9,7,1,2,1,17,3
47945,3,2,76001,2,2,4,4,9,7,1,2,1,43,1
47945,3,2,76001,2,2,4,4,9,7,1,2,1,13,3
48200,3,2,76001,1,1,1,4,1,4,1,1,1,3,3
48200,3,2,76001,1,1,1,4,1,4,1,1,1,35,1
48200,3,2,76001,1,1,1,4,1,4,1,1,1,74,6
48200,3,2,76001,1,1,1,4,1,4,1,1,2,5,3
48200,3,2,76001,1,1,1,4,1,4,1,1,2,68,6
48200,3,2,76001,1,1,1,4,1,4,1,1,2,12,3
48200,3,2,76001,1,1,1,4,1,4,1,1,2,33,2
48200,3,2,76001,1,1,1,4,1,4,1,1,2,11,3
49051,3,2,76001,3,1,1,3,5,3,1,1,1,21,3
49051,3,2,76001,3,1,1,3,5,3,1,1,2,41,2
49051,3,2,76001,3,1,1,3,5,3,1,1,1,61,1
49884,3,2,76147,2,1,8,3,1,1,1,1,1,20,3
49884,3,2,76147,2,1,8,3,1,1,1,1,1,62,1
49884,3,2,76147,2,1,8,3,1,1,1,1,1,18,3
50168,3,1,76001,1,1,1,4,5,3,1,2,2,29,1
50168,3,1,76001,1,1,1,4,5,3,1,2,1,11,3
50936,3,1,76736,2,1,1,3,9,5,1,2,2,24,5
50936,3,1,76736,2,1,1,3,9,5,1,2,2,72,2
50936,3,1,76736,2,1,1,3,9,5,1,2,1,85,1
50936,3,1,76736,2,1,1,3,9,5,1,2,2,52,3
50986,9,2,76001,5,2,7,3,9,5,1,1,1,45,3
50986,9,2,76001,5,2,7,3,9,5,1,1,2,64,2
50986,9,2,76001,5,2,7,3,9,5,1,1,2,34,9
50986,9,2,76001,5,2,7,3,9,5,1,1,1,68,1
50986,9,2,76001,5,2,7,3,9,5,1,1,2,95,10
51006,3,2,76147,1,1,1,4,5,6,1,1,1,28,3
51006,3,2,76147,1,1,1,4,5,6,1,1,1,64,1
51006,3,2,76147,1,1,1,4,5,6,1,1,2,62,2
51034,3,2,76147,3,1,1,3,9,5,1,1,1,49,1
51034,3,2,76147,3,1,1,3,9,5,1,1,2,41,2
51137,3,2,76834,5,1,4,4,9,7,1,2,1,12,5
51137,3,2,76834,5,1,4,4,9,7,1,2,2,40,3
51137,3,2,76834,5,1,4,4,9,7,1,2,2,76,1
51137,3,2,76834,5,1,4,4,9,7,1,2,1,81,2
51396,3,2,76147,2,1,1,5,9,5,1,1,1,18,5
51396,3,2,76147,2,1,1,5,9,5,1,1,1,34,3
51396,3,2,76147,2,1,1,5,9,5,1,1,2,13,5
51396,3,2,76147,2,1,1,5,9,5,1,1,1,69,1
51396,3,2,76147,2,1,1,5,9,5,1,1,2,67,2
51396,3,2,76147,2,1,1,5,9,5,1,1,2,40,3
51396,3,2,76147,2,1,1,5,9,5,1,1,1,48,4
51531,3,2,76147,2,1,1,5,9,5,1,1,1,28,8
51531,3,2,76147,2,1,1,5,9,5,1,1,2,56,1
51531,3,2,76147,2,1,1,5,9,5,1,1,2,11,5
51531,3,2,76147,2,1,1,5,9,5,1,1,2,79,6
51531,3,2,76147,2,1,1,5,9,5,1,1,1,7,5
51531,3,2,76147,2,1,1,5,9,5,1,1,2,32,3
51531,3,2,76147,2,1,1,5,9,5,1,1,1,42,7
51531,3,2,76147,2,1,1,5,9,5,1,1,1,49,4
51725,3,2,76001,3,2,4,4,9,5,3,2,1,35,1
51725,3,2,76001,3,2,4,4,9,5,3,2,1,65,6
51725,3,2,76001,3,2,4,4,9,5,3,2,2,26,2
52046,3,1,76001,1,1,1,4,9,4,1,1,1,60,2
52046,3,1,76001,1,1,1,4,9,4,1,1,2,62,1
52046,3,1,76001,1,1,1,4,9,4,1,1,1,30,3
52046,3,1,76001,1,1,1,4,9,4,1,1,1,40,3
52097,3,2,76001,2,1,1,3,9,4,1,1,2,60,2
52097,3,2,76001,2,1,1,3,9,4,1,1,1,33,3
52097,3,2,76001,2,1,1,3,9,4,1,1,1,62,1
52108,1,1,76001,1,1,1,5,9,5,1,1,2,23,3
52108,1,1,76001,1,1,1,5,9,5,1,1,1,4,5
52108,1,1,76001,1,1,1,5,9,5,1,1,2,47,2
52108,1,1,76001,1,1,1,5,9,5,1,1,1,60,1
52108,1,1,76001,1,1,1,5,9,5,1,1,1,25,3
52108,1,1,76001,1,1,1,5,9,5,1,1,1,28,4
52153,3,2,76147,3,1,1,4,9,5,1,1,2,9,3
52153,3,2,76147,3,1,1,4,9,5,1,1,2,27,1
