"D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","DIRECTORIO"
9,3,2,3,305,1,2,215
9,6,0,5,511,1,1,216
9,6,0,6,601,1,2,217
5,3,0,5,510,1,2,218
9,5,1,7,705,1,2,219
9,6,0,4,408,1,1,220
9,3,2,7,705,1,2,221
9,3,3,7,707,1,2,222
9,3,2,8,802,1,2,223
9,6,2,4,406,1,2,224
9,3,6,5,512,1,2,225
9,6,0,7,700,1,2,226
9,6,0,7,703,1,2,227
9,6,5,5,511,1,2,228
9,6,0,4,409,1,2,229
9,3,4,6,602,1,2,230
5,6,1,7,705,1,1,231
9,3,3,4,409,1,2,232
9,3,3,5,511,1,2,233
9,5,1,6,600,1,2,234
9,6,0,8,801,1,2,235
9,3,4,4,409,1,2,236
1,2,2,7,705,1,1,237
9,6,0,7,702,1,1,238
9,6,0,5,511,1,1,239
1,6,2,5,511,1,1,241
9,3,1,7,705,1,2,242
9,2,3,5,510,1,1,243
9,1,1,4,409,1,2,245
9,1,3,4,409,1,1,246
5,5,2,7,705,1,2,247
9,6,1,6,602,1,1,249
9,2,2,3,305,1,1,250
9,6,0,6,602,1,1,252
9,3,3,7,702,1,2,253
9,3,1,3,305,1,1,254
9,6,0,3,304,NA,NA,255
5,6,3,4,407,1,1,256
9,1,0,4,407,1,2,257
9,6,0,4,409,1,1,258
9,3,1,7,704,1,1,259
9,6,0,7,705,1,1,260
9,6,0,8,801,1,2,262
9,5,2,5,511,1,2,263
9,6,3,7,705,1,2,264
1,2,4,6,601,1,1,265
9,6,0,5,511,1,1,266
9,5,0,8,803,1,2,267
9,1,2,6,603,1,2,268
9,3,3,7,705,1,2,269
9,6,0,5,511,1,1,270
9,2,0,4,409,1,2,271
9,6,0,7,701,NA,NA,272
9,6,1,6,601,1,2,273
1,6,0,6,600,1,2,274
5,1,1,5,511,1,2,275
9,6,0,5,510,1,2,277
9,2,1,5,511,1,2,278
1,5,2,4,408,1,1,279
9,3,3,3,300,1,1,280
5,2,6,6,602,1,1,283
1,2,1,6,602,1,1,284
9,2,6,4,409,1,1,286
9,3,0,7,705,1,2,287
5,6,0,3,305,NA,NA,288
9,3,3,5,510,1,2,289
9,6,1,7,703,1,1,290
9,6,0,3,300,NA,NA,291
9,5,3,5,511,1,2,292
9,3,3,7,705,1,2,293
9,6,0,5,510,1,2,295
9,6,0,7,705,1,2,297
9,2,3,7,705,1,1,298
9,5,4,5,511,1,2,299
9,2,0,7,705,1,1,300
5,2,1,6,602,1,2,304
9,6,0,7,702,1,1,305
5,4,1,3,305,3,2,306
9,6,0,7,704,1,2,307
9,3,2,7,705,1,1,308
5,6,3,7,705,1,1,309
9,4,0,6,601,1,2,310
9,3,3,5,511,1,1,311
9,6,3,5,511,1,2,313
9,6,0,8,804,1,1,315
1,4,1,5,511,1,2,316
9,6,1,4,407,1,2,317
9,6,0,5,510,1,1,318
1,3,2,8,802,1,2,319
1,4,3,7,707,1,2,320
9,6,0,6,602,1,1,321
9,6,0,7,705,1,1,322
5,6,0,7,705,1,2,323
5,3,3,3,305,1,2,325
9,3,1,5,511,1,2,327
9,5,2,5,511,1,1,328
9,3,1,3,300,1,2,329
5,3,4,3,305,3,2,330
9,6,0,6,604,1,2,331
9,5,3,5,511,1,2,332
9,6,0,4,406,NA,NA,333
9,1,1,6,601,1,2,334
9,2,2,5,511,1,2,335
5,6,1,3,305,1,2,336
9,5,1,4,406,1,2,337
9,6,0,6,602,1,2,338
5,6,1,5,511,1,2,339
9,5,1,5,511,1,1,340
9,5,1,3,305,1,2,343
1,3,3,5,511,1,2,344
5,3,3,6,602,1,1,345
9,6,0,7,705,1,1,346
1,3,2,8,802,1,2,347
9,6,0,7,703,1,1,348
9,3,2,5,511,1,2,349
9,2,2,6,602,1,2,350
9,6,0,7,709,1,2,351
1,3,2,3,305,1,1,352
9,3,2,7,705,1,2,353
9,6,0,7,704,1,2,354
9,6,2,6,601,1,2,356
5,6,0,5,511,1,1,357
9,6,0,4,406,1,1,358
9,4,3,7,702,1,1,359
9,6,0,5,510,NA,NA,360
9,2,3,3,305,1,1,361
5,4,6,7,705,1,1,362
5,6,1,8,801,1,2,363
9,2,5,5,510,1,1,364
5,4,2,6,602,1,2,365
5,2,2,6,606,1,2,366
9,3,2,7,705,1,2,367
5,6,0,5,513,1,1,368
9,6,0,4,408,NA,NA,369
9,2,1,5,511,1,1,370
9,3,1,5,511,1,2,372
9,3,3,3,305,1,1,373
9,5,3,6,601,1,2,374
9,2,1,5,511,1,2,375
9,6,1,7,704,1,2,376
9,5,4,4,408,1,2,377
9,5,3,7,705,1,2,378
9,5,1,5,511,1,2,379
9,3,2,3,302,1,1,380
9,2,3,6,603,1,2,381
9,4,11,1,100,1,2,382
5,2,7,3,305,1,1,384
9,6,0,6,602,1,1,385
9,6,0,4,408,NA,NA,388
5,6,0,6,606,1,2,389
9,6,0,7,705,1,1,390
5,2,2,6,603,1,1,391
9,6,0,5,511,1,1,392
9,3,0,7,705,1,2,393
9,2,0,5,511,1,2,394
5,1,3,4,409,1,1,395
9,6,4,3,305,1,2,396
9,2,3,6,603,1,2,397
1,3,3,3,305,1,2,398
9,3,2,8,802,1,2,399
5,5,1,5,511,1,2,400
9,5,0,5,513,1,1,401
9,6,0,8,802,1,2,402
9,6,0,4,406,NA,NA,403
9,3,1,4,409,1,1,404
