"D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","DIRECTORIO"
9,3,3,3,305,1,1,15882
9,2,2,6,603,1,2,15883
9,6,3,4,408,1,2,15884
9,3,3,6,603,1,2,15885
5,6,0,4,409,NA,NA,15886
5,5,2,8,802,1,2,15887
9,2,2,5,511,1,1,15888
9,6,0,7,705,1,2,15889
9,6,0,4,409,NA,NA,15890
9,2,2,6,602,1,2,15891
9,3,3,8,802,1,2,15892
9,3,3,6,601,1,2,15893
9,6,0,7,705,1,1,15894
9,6,0,6,603,1,1,15895
9,2,2,1,100,1,1,15896
9,6,0,6,601,1,2,15897
9,1,1,6,602,1,2,15898
9,2,3,5,512,1,1,15899
9,2,2,6,602,1,1,15900
9,2,3,4,408,1,2,15901
9,5,3,3,303,1,1,15902
9,2,3,1,100,1,2,15903
9,2,4,5,511,1,1,15904
9,2,5,4,408,1,2,15905
5,2,2,5,511,1,2,15906
9,2,0,5,511,1,1,15907
9,1,1,5,511,1,1,15908
9,6,0,6,602,1,2,15909
5,6,0,4,409,1,2,15910
9,6,0,6,602,1,1,15911
9,6,0,6,602,1,2,15912
9,5,1,5,511,1,2,15913
9,3,2,7,705,1,1,15914
9,3,0,8,802,1,2,15915
9,6,0,7,702,1,1,15916
9,6,0,7,705,1,2,15917
9,2,2,3,302,1,2,15918
9,2,2,6,602,1,2,15919
9,2,1,6,601,1,2,15920
9,3,2,8,802,1,1,15921
9,6,0,7,702,1,1,15922
9,6,0,4,406,NA,NA,15923
9,2,3,5,511,1,1,15926
9,1,1,5,511,1,1,15927
9,6,0,7,702,1,1,15928
9,2,6,5,511,1,2,15929
9,3,2,8,802,1,2,15930
9,2,1,5,511,1,1,15931
9,6,2,4,409,1,2,15932
9,2,2,6,602,1,2,15933
5,6,0,6,602,2,1,15935
9,6,0,5,511,NA,NA,15936
1,3,2,5,511,1,2,15937
9,2,2,5,510,1,2,15938
9,3,1,6,602,1,2,15939
9,3,2,6,603,1,2,15940
9,6,0,4,408,NA,NA,15941
9,6,0,6,602,1,1,15942
1,5,1,5,511,1,1,15943
9,6,4,1,100,1,2,15944
9,6,1,3,301,1,2,15946
1,2,0,8,802,1,2,15948
9,2,4,4,408,1,2,15949
9,3,1,3,305,1,1,15950
9,5,3,5,511,1,2,15951
9,6,0,6,602,1,2,15952
9,2,1,5,511,1,2,15953
9,2,2,6,602,1,2,15955
9,2,0,6,603,1,1,15956
1,3,2,5,511,1,2,15957
9,2,1,5,511,1,2,15958
9,2,2,5,511,1,2,15959
9,2,2,6,603,1,1,15960
5,2,2,5,511,1,2,15961
9,6,0,7,705,1,1,15962
1,3,1,5,511,1,2,15963
9,6,1,4,408,1,2,15964
1,3,1,7,704,1,1,15965
9,1,1,6,602,1,1,15966
9,5,1,6,602,1,2,15967
9,5,0,5,511,1,1,15968
9,3,3,5,511,1,2,15969
9,6,0,7,705,1,2,15970
9,6,0,3,305,1,1,15971
9,6,0,7,702,1,2,15973
9,2,1,6,602,1,2,15974
9,6,0,4,408,NA,NA,15975
9,2,1,5,511,1,2,15976
9,6,2,6,602,1,2,15977
9,2,0,5,511,1,1,15978
9,2,5,3,302,1,2,15979
9,3,3,5,511,1,2,15980
9,2,0,4,406,1,1,15981
5,2,7,3,301,1,1,15982
5,3,1,5,511,1,2,15983
9,3,3,5,511,1,2,15985
5,5,2,5,511,1,1,15986
9,5,4,5,511,1,2,15987
9,6,0,4,406,NA,NA,15988
9,6,1,5,511,1,2,15989
9,6,0,6,602,1,2,15991
9,6,0,7,705,1,2,15992
9,3,2,5,511,1,2,15993
9,3,3,4,407,1,2,15994
9,5,0,5,511,1,1,15995
9,2,2,6,602,1,2,15996
9,6,0,7,702,1,1,15997
9,6,0,3,305,NA,NA,15998
9,2,2,7,705,1,2,15999
9,2,1,3,305,1,2,16000
9,3,1,6,602,1,2,16001
5,2,3,7,701,1,2,16002
9,2,2,3,305,1,1,16003
9,3,0,3,305,1,1,16004
9,2,1,6,603,1,2,16005
9,2,2,6,605,1,2,16006
5,6,0,4,406,NA,NA,16007
9,2,3,3,305,1,2,16008
9,2,1,5,511,1,1,16009
9,1,0,6,603,1,1,16010
9,6,3,1,100,1,1,16011
1,2,1,4,407,1,2,16012
9,6,0,6,602,1,2,16013
9,6,0,4,408,1,1,16014
9,6,0,5,510,1,1,16015
9,3,4,5,511,1,1,16016
9,6,3,3,305,1,2,16017
9,6,0,5,513,NA,NA,16018
9,5,3,3,304,1,2,16019
9,5,1,7,705,1,2,16020
9,2,4,3,305,1,2,16021
9,6,2,8,801,1,2,16022
5,6,0,4,406,NA,NA,16023
9,2,2,6,603,1,2,16024
9,1,1,6,601,1,2,16025
9,5,1,3,303,1,1,16026
5,6,1,6,602,1,2,16027
9,6,2,6,602,1,1,16028
9,5,3,1,100,1,2,16030
9,5,2,6,602,1,2,16031
9,6,0,4,407,NA,NA,16032
9,5,5,3,303,1,2,16033
9,3,3,4,409,1,2,16034
9,6,0,7,705,1,2,16036
9,6,0,7,705,1,1,16037
9,2,2,4,409,1,1,16038
9,3,1,4,407,1,2,16039
9,6,0,4,408,NA,NA,16040
9,6,0,4,407,NA,NA,16041
9,3,0,4,409,1,2,16042
9,3,2,6,602,1,2,16043
9,6,0,7,705,1,1,16044
5,2,3,4,406,1,2,16045
9,6,1,5,511,1,2,16046
9,2,3,1,100,1,1,16047
9,5,1,3,305,1,2,16048
9,3,2,6,603,1,2,16049
9,5,3,4,409,1,1,16050
9,6,0,7,701,1,2,16051
9,6,0,7,705,1,1,16052
9,2,4,5,511,1,1,16053
9,6,0,7,705,1,1,16054
9,2,2,5,511,1,2,16055
9,6,0,7,705,1,2,16056
9,6,0,7,704,3,2,16057
9,6,1,7,705,1,1,16058
9,5,2,3,304,1,2,16059
9,2,1,5,511,1,2,16060
5,3,2,5,511,1,2,16062
5,6,0,7,705,1,1,16063
9,2,1,3,305,1,1,16064
9,2,2,5,511,1,1,16065
9,3,2,6,603,1,2,16067
9,2,2,6,602,1,2,16068
9,2,1,3,303,1,1,16069
9,2,2,4,408,1,2,16070
9,5,3,5,511,1,1,16071
9,6,6,5,512,1,2,16072
9,6,0,3,305,1,1,16073
9,4,4,3,302,1,2,16075
9,6,0,5,511,1,1,16076
9,3,2,5,511,1,2,16077
9,2,0,4,409,1,1,16078
9,3,2,5,511,1,2,16079
9,6,0,4,406,NA,NA,16080
9,4,1,5,511,1,2,16081
9,6,1,7,705,1,1,16082
9,2,0,5,511,1,1,16083
9,2,2,4,409,1,1,16084
9,6,0,5,511,1,1,16085
9,3,3,5,511,1,2,16086
9,2,2,3,305,1,1,16087
9,1,0,5,511,1,1,16088
9,2,3,5,511,1,2,16089
9,2,2,3,305,1,1,16090
9,6,1,7,701,1,2,16091
9,6,3,8,811,1,2,16092
9,3,2,6,602,1,2,16093
9,6,2,8,811,1,1,16094
9,6,0,6,602,1,1,16095
9,6,2,6,601,1,1,16096
9,3,0,8,802,1,1,16097
9,6,0,4,407,NA,NA,16098
9,2,3,6,603,1,1,16100
9,6,0,4,409,NA,NA,16102
9,3,3,5,511,1,2,16103
1,2,2,5,511,1,2,16104
5,6,0,3,304,NA,NA,16105
9,6,0,5,511,1,1,16108
9,6,0,5,511,1,2,16109
9,6,0,4,408,NA,NA,16110
1,2,2,7,700,1,1,16111
9,6,0,6,602,1,2,16112
9,6,1,7,703,1,1,16113
9,5,1,7,710,1,2,16115
9,6,0,5,510,NA,NA,16117
9,6,0,5,511,1,2,16118
9,2,1,5,510,1,1,16119
9,6,0,7,705,1,2,16120
5,6,0,5,511,1,2,16121
9,6,0,5,511,1,1,16122
5,6,0,7,705,1,2,16123
9,1,5,3,305,1,2,16124
9,3,2,7,706,1,2,16125
9,2,1,7,708,1,2,16126
9,1,3,3,302,1,2,16127
9,5,3,5,511,1,2,16128
9,5,1,6,607,1,2,16129
9,4,6,3,302,1,2,16130
9,3,1,5,511,1,1,16131
9,3,1,4,409,1,1,16132
9,5,3,6,603,1,2,16133
9,6,1,6,601,1,1,16134
9,6,0,4,407,NA,NA,16136
9,6,1,5,511,1,2,16137
9,6,0,4,407,NA,NA,16138
9,2,3,5,511,1,1,16139
9,5,1,3,305,1,1,16140
9,5,2,6,602,1,1,16142
1,6,2,4,407,1,1,16143
9,3,0,8,811,1,2,16144
9,6,0,7,701,1,1,16145
9,5,2,5,511,1,2,16146
9,5,4,3,305,1,2,16147
9,6,0,3,305,NA,NA,16148
9,6,0,7,701,2,1,16149
9,2,3,6,602,1,1,16150
9,5,3,5,511,1,2,16151
9,6,0,5,511,2,3,16152
9,6,2,5,510,1,2,16153
9,6,0,5,510,NA,NA,16154
9,3,5,1,100,1,2,16155
9,3,1,8,802,1,2,16156
9,2,2,6,603,1,1,16157
9,5,0,6,605,1,2,16158
1,6,0,7,706,1,2,16159
9,5,2,4,409,1,1,16160
9,6,0,6,604,1,2,16161
9,6,0,4,407,NA,NA,16162
9,6,1,8,801,1,2,16163
9,5,0,6,600,2,2,16164
9,3,2,7,702,1,2,16165
9,2,2,5,513,1,2,16166
9,3,4,3,304,1,2,16167
9,6,0,4,408,NA,NA,16168
9,6,0,7,705,1,2,16170
9,3,1,6,602,1,2,16171
9,3,1,8,802,1,2,16172
9,2,3,3,305,1,1,16173
9,5,1,5,511,1,2,16174
9,6,0,6,605,1,1,16175
5,3,3,5,511,1,2,16176
9,6,0,6,600,1,2,16177
9,2,2,5,511,1,1,16178
9,6,0,8,801,1,2,16179
9,6,0,8,802,1,2,16180
9,4,1,5,511,1,2,16181
9,5,0,5,511,1,1,16182
9,6,1,5,511,1,1,16183
9,2,2,5,511,1,2,16184
9,1,2,6,611,1,1,16186
9,3,1,3,305,1,1,16187
9,6,0,5,510,1,2,16188
9,6,0,4,408,NA,NA,16189
9,6,2,7,705,1,1,16190
9,2,0,6,604,1,2,16191
9,3,1,8,802,1,2,16192
9,4,3,4,409,1,1,16193
9,6,1,6,601,1,2,16194
9,6,0,5,510,NA,NA,16195
9,5,3,6,603,1,2,16196
9,2,3,6,604,1,1,16197
9,2,2,4,409,1,2,16198
9,6,0,6,604,1,2,16199
9,5,2,5,510,1,2,16200
9,6,0,7,710,1,2,16202
9,3,1,3,304,1,2,16203
9,3,2,3,305,1,2,16204
9,6,1,6,601,1,1,16205
9,6,1,4,407,2,3,16206
9,6,0,6,603,1,1,16207
9,2,2,4,407,1,1,16208
9,3,6,5,511,1,1,16210
9,6,0,6,602,1,2,16211
9,3,2,3,305,1,1,16212
9,4,1,5,511,1,2,16213
9,2,1,6,601,1,2,16214
9,6,2,6,601,1,1,16215
9,2,3,5,510,1,2,16216
9,6,0,6,602,1,1,16217
9,6,0,5,511,1,1,16218
9,3,3,7,702,1,1,16219
9,6,0,7,703,1,1,16220
9,5,2,8,801,1,2,16221
9,2,0,6,603,1,1,16222
9,6,2,4,407,1,1,16223
9,6,1,6,601,1,1,16224
9,6,0,6,604,1,1,16225
9,5,2,5,511,1,2,16226
9,2,2,4,408,1,1,16227
9,6,0,7,703,1,1,16229
9,3,2,5,511,1,2,16230
9,1,1,4,409,1,1,16231
9,6,1,4,409,1,2,16232
9,6,0,4,408,NA,NA,16233
9,6,0,7,711,1,1,16234
5,6,0,7,710,1,1,16235
9,5,0,6,603,1,1,16237
9,1,1,3,305,1,1,16238
9,6,3,3,301,1,2,16239
9,5,1,6,602,1,2,16240
9,2,3,5,511,1,2,16242
9,5,1,5,511,1,2,16243
9,2,3,5,511,1,2,16244
9,6,0,5,511,1,1,16245
9,2,0,5,513,1,1,16246
9,2,2,5,511,1,2,16247
9,6,0,5,511,1,1,16248
9,5,2,7,705,1,2,16249
3,6,0,7,705,1,1,16250
9,3,1,6,602,1,2,16251
9,5,1,7,705,1,1,16252
1,3,1,8,802,1,1,16253
9,2,1,6,604,1,2,16254
9,3,2,8,801,1,2,16255
9,2,3,3,305,1,2,16256
9,5,1,7,705,1,2,16258
9,4,1,4,407,1,2,16259
9,3,2,5,511,1,1,16261
9,5,1,5,511,1,2,16262
9,3,3,5,511,1,2,16263
9,3,1,4,406,1,1,16264
5,3,2,5,511,1,2,16265
9,2,1,6,603,1,2,16266
9,4,2,6,601,1,2,16267
9,3,3,5,511,1,2,16268
9,2,2,4,406,1,2,16269
9,6,0,6,601,1,1,16270
9,6,0,7,705,1,2,16272
9,1,0,8,802,1,2,16273
9,6,0,7,704,1,2,16274
5,2,4,7,707,1,1,16275
9,1,1,5,510,1,2,16276
9,5,2,7,705,1,2,16277
9,2,1,4,406,1,1,16278
9,2,0,6,604,1,2,16281
9,6,0,3,305,1,1,16282
9,3,1,5,511,1,1,16283
9,2,1,5,511,1,2,16284
9,5,2,7,710,1,2,16285
9,3,5,5,511,1,2,16286
9,2,4,4,406,1,1,16287
9,6,0,7,702,1,1,16288
9,5,1,5,511,1,2,16289
9,6,1,7,701,1,1,16290
9,3,1,5,511,1,1,16291
1,2,4,3,303,1,2,16292
9,6,1,7,705,1,1,16293
9,4,1,2,201,1,2,16294
9,3,1,6,602,1,2,16295
9,6,0,3,304,NA,NA,16296
5,6,0,7,708,1,1,16297
9,6,0,6,600,1,2,16298
9,4,2,7,702,1,2,16299
9,6,0,7,705,1,1,16300
9,6,0,4,407,NA,NA,16301
9,3,1,8,801,1,2,16302
9,2,0,4,408,1,1,16303
9,6,2,5,511,1,2,16304
9,3,5,5,511,1,1,16305
9,5,2,3,305,1,1,16307
9,2,1,4,407,1,2,16308
9,3,2,7,705,1,2,16309
9,2,1,5,511,1,2,16310
9,6,0,4,408,NA,NA,16312
9,2,1,7,707,1,1,16313
9,2,2,5,511,1,2,16315
5,6,0,7,710,1,2,16316
9,6,0,4,407,NA,NA,16318
9,6,1,6,602,1,1,16319
9,2,1,5,511,1,2,16320
9,6,0,5,511,1,1,16321
9,3,1,5,511,1,2,16322
9,1,2,6,605,1,2,16323
9,1,0,4,408,1,1,16325
9,2,2,4,409,1,2,16326
9,5,1,7,710,1,2,16327
9,2,2,5,511,1,1,16329
9,6,0,5,511,1,1,16330
9,6,0,6,602,1,1,16331
9,6,0,5,510,1,2,16332
9,6,1,5,511,1,1,16333
9,3,2,3,302,1,1,16336
9,6,5,1,100,1,2,16337
9,6,0,4,408,NA,NA,16338
9,6,0,6,601,NA,NA,16339
9,5,3,2,201,1,1,16340
9,3,1,5,511,1,2,16341
5,3,3,4,409,1,1,16342
9,3,2,6,604,1,2,16343
9,2,2,5,511,1,2,16344
9,5,0,5,511,1,1,16346
9,2,2,5,510,1,2,16348
9,6,0,7,704,1,2,16349
1,5,4,3,305,1,2,16350
9,5,2,5,511,1,1,16351
9,2,2,4,408,1,1,16352
9,6,0,5,511,1,2,16353
9,6,0,7,705,1,1,16354
9,6,0,6,604,1,2,16356
9,6,0,5,513,NA,NA,16357
9,6,2,6,602,1,1,16358
9,6,0,7,705,1,2,16359
9,2,0,7,705,1,1,16360
9,6,2,4,406,1,1,16361
9,6,0,5,511,NA,NA,16362
9,1,0,5,511,1,2,16363
9,6,0,5,511,1,1,16364
9,3,3,7,705,1,2,16365
9,4,0,6,604,1,2,16367
5,3,3,4,408,1,2,16369
9,2,2,3,302,1,2,16370
9,6,1,5,511,1,1,16371
9,5,3,6,602,1,2,16372
9,5,2,5,511,1,1,16373
9,3,2,6,603,1,2,16374
9,3,1,6,601,1,2,16375
9,6,0,5,511,1,1,16376
9,6,0,1,100,1,2,16377
9,6,0,7,704,1,1,16378
9,6,2,5,511,1,2,16379
9,6,0,8,802,1,1,16380
9,6,0,3,304,1,1,16381
9,6,0,8,804,2,1,16382
9,6,1,3,305,1,1,16384
9,2,3,6,601,1,2,16385
9,2,3,4,409,1,2,16386
9,3,2,3,305,1,1,16387
9,2,1,5,511,1,2,16388
9,3,4,4,407,1,1,16389
9,3,0,4,409,1,1,16391
9,3,2,5,510,1,2,16392
5,6,0,7,705,1,1,16393
9,2,3,6,604,1,2,16394
9,6,1,5,511,1,1,16395
9,2,3,3,303,1,2,16396
9,3,0,3,303,1,1,16397
5,6,0,5,511,1,2,16398
9,3,1,3,301,1,2,16399
9,3,1,5,511,1,1,16400
9,6,0,5,511,1,2,16401
9,3,2,7,705,1,2,16402
9,2,0,7,705,1,1,16403
9,6,0,7,706,1,1,16404
5,2,2,3,305,1,2,16405
9,6,0,7,705,1,2,16406
9,6,0,6,604,2,2,16407
9,3,2,6,606,1,1,16409
9,5,2,3,305,1,2,16410
9,5,1,6,601,1,2,16411
9,3,2,6,602,1,2,16412
5,6,0,7,702,1,2,16413
5,3,4,3,305,1,1,16414
9,1,1,5,511,1,1,16415
1,6,0,7,705,1,2,16416
9,3,1,7,705,1,2,16417
9,2,1,4,409,1,1,16418
9,3,2,4,408,1,1,16419
9,3,3,4,408,1,2,16420
9,6,1,7,705,1,1,16421
5,6,0,5,511,1,1,16422
9,2,0,3,304,1,1,16423
9,5,2,6,604,1,2,16424
9,6,0,4,406,NA,NA,16425
9,6,0,5,511,NA,NA,16426
9,3,2,3,305,1,1,16427
9,6,1,6,602,1,1,16428
9,2,0,5,511,1,1,16429
9,6,0,7,705,1,2,16430
9,6,0,5,511,1,2,16431
9,6,0,7,704,1,1,16432
9,4,2,5,511,1,2,16433
9,2,5,4,407,1,1,16435
9,5,2,6,606,1,2,16436
9,2,0,3,303,1,1,16437
5,2,5,3,301,1,2,16438
9,5,4,3,305,1,1,16439
9,2,0,7,705,1,2,16440
9,6,0,7,702,1,1,16441
9,6,0,7,704,1,2,16442
9,2,0,3,304,1,2,16443
9,6,0,4,408,NA,NA,16446
9,6,1,8,802,1,1,16447
9,6,2,7,705,1,2,16448
9,3,3,5,511,1,2,16450
9,3,2,6,606,1,1,16451
9,3,5,3,301,1,1,16452
1,5,0,5,512,1,2,16453
9,6,1,6,602,1,2,16454
1,6,0,6,602,1,2,16455
9,2,1,7,710,1,2,16456
9,2,2,5,511,1,2,16457
9,5,2,5,511,1,2,16458
9,5,2,5,511,1,2,16459
5,2,2,5,511,1,2,16460
9,6,0,5,510,NA,NA,16461
9,6,1,6,603,1,1,16462
9,2,1,6,604,1,2,16463
9,2,2,4,400,1,2,16464
9,6,0,7,705,1,2,16465
9,6,0,6,602,1,1,16466
9,6,0,5,510,NA,NA,16467
9,3,1,7,710,1,1,16468
9,2,2,5,513,1,1,16469
9,2,1,4,409,1,1,16470
9,6,1,7,704,1,2,16471
9,6,0,4,407,1,1,16472
9,3,3,3,305,1,2,16473
9,6,0,5,511,1,2,16474
9,3,1,5,511,1,1,16475
9,3,0,5,513,1,2,16476
9,6,0,6,603,1,2,16477
9,4,9,3,305,1,2,16478
9,6,0,6,602,NA,NA,16479
1,5,4,3,302,1,2,16480
9,6,0,6,602,1,2,16481
9,3,3,7,710,1,2,16482
9,3,2,7,705,1,2,16483
9,3,0,6,606,1,1,16484
9,3,3,3,303,1,1,16485
9,2,2,5,511,1,2,16486
9,5,5,5,511,1,1,16487
9,2,3,3,305,1,1,16488
9,6,0,4,408,NA,NA,16489
9,6,1,6,604,1,2,16490
9,6,0,7,705,1,1,16491
9,3,2,6,603,1,1,16492
9,2,4,3,305,1,2,16494
9,6,0,5,511,1,1,16495
9,1,2,7,705,1,1,16496
9,3,2,6,601,1,2,16497
3,3,2,3,301,1,1,16498
9,3,2,6,602,1,1,16499
9,3,2,5,510,1,2,16500
9,2,2,4,406,1,2,16502
9,2,2,5,511,1,2,16503
9,6,0,5,511,1,2,16504
9,4,2,5,511,1,2,16505
9,2,2,7,705,1,2,16506
9,2,2,1,100,1,2,16507
9,3,3,3,304,1,1,16508
9,3,0,8,804,1,2,16509
9,6,1,5,511,1,2,16510
9,5,0,7,704,1,1,16511
9,6,2,6,602,1,2,16512
1,1,1,4,408,1,2,16514
9,6,0,4,408,NA,NA,16515
9,6,2,5,511,1,2,16516
9,5,1,5,510,1,2,16517
9,1,2,5,511,1,2,16518
9,6,0,6,601,1,1,16519
9,2,1,5,511,1,2,16520
9,3,0,7,705,1,1,16521
9,6,0,4,406,NA,NA,16522
9,4,2,6,601,1,2,16523
9,2,3,3,305,1,2,16524
9,3,4,3,305,1,2,16525
5,2,7,3,304,1,1,16527
5,2,0,6,603,1,1,16528
9,2,1,5,511,1,2,16529
9,5,3,5,511,1,2,16530
1,6,5,4,408,1,1,16531
9,2,0,5,511,1,1,16532
9,6,1,5,512,1,2,16533
9,6,0,4,407,1,1,16534
9,5,1,4,406,1,2,16535
9,6,0,4,409,1,1,16536
9,5,3,5,511,1,1,16537
9,3,3,5,511,1,1,16538
9,6,0,3,302,1,1,16539
9,6,0,4,408,NA,NA,16540
9,3,2,8,804,1,1,16541
9,1,1,5,511,1,2,16542
9,6,0,6,603,1,2,16543
9,6,0,5,511,1,1,16544
9,5,2,4,409,1,1,16545
9,6,1,6,602,1,2,16546
9,6,0,5,513,NA,NA,16547
9,2,2,4,409,1,2,16548
9,6,2,5,511,1,2,16549
9,2,2,7,710,1,2,16550
5,1,1,5,510,1,1,16551
9,5,2,7,705,1,1,16552
9,3,3,5,511,1,2,16553
5,2,4,5,511,1,2,16554
9,6,0,5,511,1,1,16555
1,6,1,7,705,1,2,16556
9,3,3,8,806,1,2,16557
9,2,2,6,601,1,2,16558
9,4,5,3,303,1,2,16559
9,3,2,3,305,1,1,16560
9,5,2,3,304,1,2,16561
9,5,2,6,601,1,2,16562
9,6,1,6,602,1,2,16563
9,3,3,5,512,1,1,16564
9,6,0,5,511,1,2,16565
9,1,0,5,510,1,2,16566
9,2,2,4,408,1,2,16567
9,2,2,3,305,1,1,16568
9,4,3,5,511,1,2,16570
9,6,2,6,604,1,1,16571
9,2,0,4,409,1,1,16572
9,5,3,3,305,1,2,16573
9,3,5,3,304,1,2,16574
9,5,1,5,511,1,1,16575
9,2,2,7,704,1,2,16576
9,6,0,4,406,NA,NA,16577
9,6,0,7,709,1,2,16578
9,3,3,7,705,1,2,16579
9,5,0,6,613,1,1,16580
9,5,1,5,511,1,2,16581
9,6,0,5,513,1,1,16582
9,3,2,5,511,1,2,16583
9,6,0,4,408,NA,NA,16584
9,6,0,5,510,NA,NA,16585
9,6,0,5,511,NA,NA,16586
9,2,1,7,704,1,2,16587
9,3,2,4,409,1,2,16588
9,2,3,5,512,1,1,16589
9,6,0,5,511,2,2,16590
9,1,6,3,304,1,2,16591
9,6,0,4,407,NA,NA,16592
9,6,4,3,302,1,2,16593
5,6,0,6,601,1,1,16594
9,6,1,3,304,1,2,16595
9,5,2,5,511,1,2,16596
9,2,1,4,407,1,1,16597
9,6,0,8,802,1,2,16599
9,6,2,6,601,1,2,16600
9,2,2,5,511,1,1,16601
9,2,2,5,511,1,2,16602
9,2,2,5,512,1,1,16603
5,3,2,5,511,1,1,16604
9,3,0,5,511,1,1,16605
1,6,1,5,511,1,2,16606
9,6,0,6,602,1,2,16607
9,3,1,7,705,1,2,16608
9,3,3,4,409,1,1,16609
9,1,0,1,100,1,2,16610
9,2,3,3,304,1,1,16612
9,3,3,6,602,1,2,16613
9,2,3,5,511,1,2,16614
9,3,2,5,511,1,1,16615
9,6,0,4,408,NA,NA,16616
9,3,1,5,511,1,2,16617
9,2,2,3,303,1,1,16618
9,6,1,4,406,1,1,16619
9,6,0,4,409,1,2,16620
9,2,1,5,511,1,2,16622
9,6,0,5,510,1,1,16623
9,6,0,5,511,1,1,16624
9,2,2,5,511,1,2,16625
9,5,1,7,705,1,2,16626
9,3,5,3,301,1,2,16627
9,6,0,3,303,1,1,16628
9,3,2,7,705,1,1,16629
9,2,4,3,304,1,2,16630
9,6,0,5,511,1,1,16631
9,6,0,3,305,1,1,16632
9,6,1,7,704,1,2,16633
9,5,4,3,305,1,2,16634
9,4,0,6,601,1,2,16635
9,6,0,7,705,1,2,16636
9,2,1,5,511,1,2,16637
9,2,0,5,511,1,2,16638
9,6,0,4,408,NA,NA,16639
9,2,3,4,409,1,1,16640
9,3,3,3,302,1,2,16641
9,2,6,4,406,1,2,16643
9,6,0,4,409,1,1,16644
9,6,0,6,602,1,1,16645
9,3,6,3,305,1,2,16646
5,6,0,7,705,1,2,16647
1,2,1,3,301,1,2,16648
9,3,3,7,705,1,1,16649
9,6,2,5,511,1,2,16650
9,4,4,3,302,1,2,16651
9,2,2,6,602,1,2,16652
9,6,0,4,407,NA,NA,16653
9,2,4,3,301,1,1,16654
9,6,0,3,305,NA,NA,16655
5,6,1,6,606,1,2,16656
9,3,1,7,705,1,1,16657
9,3,3,6,602,1,2,16658
9,1,0,4,407,2,2,16659
9,3,0,3,301,1,1,16660
9,4,1,4,409,1,2,16661
9,3,1,7,705,1,2,16662
9,5,0,3,305,1,1,16663
9,6,2,3,303,1,1,16664
9,3,2,3,305,1,2,16665
1,6,0,7,705,1,2,16666
9,5,6,3,305,1,2,16667
5,6,0,4,407,NA,NA,16668
9,6,0,4,408,1,1,16669
9,2,2,5,511,1,2,16670
9,2,0,3,302,1,1,16671
9,3,1,6,602,1,2,16672
9,4,4,3,305,1,2,16673
9,3,6,3,305,1,2,16674
9,6,0,4,407,1,1,16675
9,2,2,6,602,1,1,16676
9,3,0,1,100,1,1,16677
9,5,1,6,604,1,2,16678
9,6,0,8,802,1,1,16679
9,4,5,4,409,1,2,16680
9,2,1,7,705,1,2,16682
9,6,0,5,511,NA,NA,16683
9,6,0,7,704,1,1,16684
9,5,1,6,602,1,2,16685
9,6,1,7,706,1,2,16687
9,6,1,5,511,1,2,16688
9,6,0,4,406,NA,NA,16689
9,2,3,4,406,1,2,16690
9,5,1,8,801,1,2,16691
9,2,1,5,511,1,2,16692
9,3,1,5,511,1,1,16693
1,6,0,7,703,1,1,16694
9,2,2,6,603,1,2,16695
9,6,1,7,703,1,1,16696
9,6,0,8,802,1,1,16697
9,5,3,4,408,1,2,16698
9,6,0,7,705,1,1,16699
9,6,0,7,703,1,2,16700
9,1,3,4,408,1,2,16701
9,2,1,4,406,1,1,16702
9,2,2,5,513,1,2,16703
9,5,1,3,304,1,2,16704
9,6,1,7,701,1,1,16707
9,2,0,4,406,NA,NA,16708
5,2,4,5,512,1,1,16709
9,6,1,3,302,1,1,16710
9,6,0,5,511,1,2,16711
5,3,6,3,303,1,2,16712
9,6,0,4,407,NA,NA,16713
9,2,2,4,408,1,2,16714
9,6,2,7,710,1,1,16715
9,2,2,6,604,1,2,16718
9,4,3,3,303,1,2,16719
9,1,0,7,701,1,1,16720
5,6,3,5,511,1,2,16721
1,3,0,6,600,1,1,16722
9,3,1,5,511,1,2,16723
9,3,3,3,305,1,2,16724
9,2,2,7,705,2,2,16725
9,4,4,3,303,1,2,16726
9,6,0,8,801,1,1,16727
1,5,1,6,601,1,1,16728
9,3,2,5,511,1,2,16729
9,3,4,5,511,1,2,16730
9,5,1,5,511,1,2,16731
9,2,1,6,601,1,2,16732
9,6,0,4,407,NA,NA,16733
9,6,0,6,603,1,1,16734
9,6,0,5,510,NA,NA,16735
9,6,0,7,703,1,2,16736
5,3,2,5,511,1,1,16737
9,3,3,5,511,1,2,16738
9,2,1,5,511,1,2,16739
9,2,3,5,512,1,1,16741
9,2,2,5,511,1,2,16742
9,6,2,5,511,1,2,16743
9,6,0,7,700,1,1,16744
9,6,1,3,305,1,2,16745
9,2,2,6,601,1,2,16746
5,5,2,8,801,1,1,16747
9,6,1,7,705,1,2,16748
5,6,1,5,511,1,2,16749
9,6,0,3,305,1,1,16750
9,6,3,4,409,1,2,16751
5,3,4,7,705,1,1,16752
5,6,5,3,303,1,2,16753
9,3,3,4,407,1,2,16754
9,6,2,5,511,1,2,16755
9,5,2,8,802,1,2,16756
9,6,1,6,602,1,2,16757
9,6,4,4,409,1,2,16758
9,6,0,3,305,NA,NA,16759
9,3,1,8,801,1,2,16760
9,6,0,4,409,NA,NA,16761
9,6,0,4,407,NA,NA,16762
9,6,1,7,705,1,2,16763
