"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"52356",2,1,2,2,4600
"52356",1,1,2,1,4612
"52356",1,1,2,4,4624
"52356",1,1,2,3,4642
"52001",3,1,1,5,4719
"52001",3,1,1,2,4736
"52001",1,1,4,2,4830
"52001",1,1,4,4,4832
"52001",1,1,4,5,4838
"52001",1,1,3,4,4855
"52001",3,1,3,1,4871
"52001",3,1,3,1,4880
"52001",1,1,1,2,4883
"52001",2,1,2,3,4894
"52001",1,1,1,2,4900
"52001",1,1,2,3,4909
"52001",1,1,1,2,4915
"52001",1,1,3,4,4926
"52001",1,1,2,5,4934
"52001",1,1,2,5,4946
"52001",2,1,3,4,4958
"52356",2,1,2,3,5541
"52356",2,1,2,3,5565
"52356",2,1,2,4,5582
"52356",2,1,2,4,5593
"52356",2,1,2,2,5602
"52356",2,1,2,3,5606
"52356",1,1,2,4,5612
"52356",2,1,2,3,5620
"52001",2,1,1,3,5724
"52001",1,1,3,3,5752
"52001",1,1,3,5,5775
"52001",2,1,3,4,5812
"52001",1,1,3,5,5848
"52001",3,1,3,1,5883
"52001",1,1,1,4,5937
"52001",1,1,1,5,5958
"52001",2,1,2,3,5977
"52001",2,1,2,3,5997
"52001",2,1,4,3,6001
"52001",1,1,2,2,6009
"52001",2,1,4,3,6014
"52001",1,1,2,3,6020
"52001",2,1,4,2,6037
"52001",1,1,3,3,6043
"52001",2,1,4,2,6046
"52001",1,1,4,1,6055
"52001",2,1,3,2,6061
"52001",2,1,3,3,6073
"52001",2,1,2,3,6119
"52001",1,1,1,5,6132
"52001",1,1,1,7,6162
"52001",1,1,3,1,6165
"52001",1,1,3,5,6185
"52001",1,1,3,4,6211
"52001",2,1,3,2,6632
"52001",2,1,3,3,6637
"52001",1,1,3,1,6647
"52001",3,1,3,1,6656
"52001",1,1,3,2,6697
"52001",2,1,2,4,6708
"52001",2,1,2,2,6709
"52001",2,1,2,5,6730
"52001",1,1,2,4,6733
"52001",2,1,3,3,6739
"52001",1,1,3,4,6757
"52356",1,1,2,3,7057
"52356",1,1,2,2,7075
"52356",2,1,2,6,7121
"52356",1,1,2,3,7177
"52356",2,1,2,5,7206
"52356",1,1,2,4,7223
"52356",1,1,2,2,7238
"52356",1,1,2,5,7270
"52356",1,1,2,4,7285
"52356",2,1,2,4,7295
"52356",2,1,2,4,7307
"52356",1,1,2,3,7315
"52356",2,1,2,2,7322
"52356",1,1,2,3,7328
"52356",1,1,2,3,7332
"52356",2,1,2,3,7334
"52356",3,1,2,1,7336
"52356",1,1,1,4,7505
"52356",1,1,1,6,7527
"52356",2,1,1,2,7626
"52356",2,1,1,2,7654
"52356",1,1,1,6,7697
"52356",1,1,2,2,7706
"52356",1,1,2,3,7744
"52001",1,1,4,4,7764
"52356",2,1,2,4,7776
"52356",1,1,4,4,7892
"52356",1,1,4,4,7900
"52356",1,1,4,4,7916
"52356",1,1,4,3,7929
"52356",1,1,4,1,7939
"52356",1,1,4,1,7946
"52356",1,1,2,4,7955
"52356",2,1,2,4,7957
"52356",1,1,2,2,7967
"52356",1,1,2,6,7974
"52356",2,1,2,4,7980
"52356",1,1,2,3,7992
"52001",1,1,2,2,8013
"52356",1,1,2,1,8016
"52356",1,1,2,5,8033
"52001",1,1,2,2,8048
"52356",2,1,2,2,8056
"52001",2,1,2,2,8060
"52001",1,1,2,6,8077
"52356",1,1,4,8,8088
"52001",1,1,2,3,8094
"52001",2,1,2,2,8113
"52356",1,1,4,5,8133
"52356",1,1,3,4,8135
"52001",2,1,2,4,8139
"52001",2,1,2,4,8154
"52356",1,1,3,3,8155
"52001",1,1,2,3,8166
"52356",2,1,1,5,8178
"52356",2,1,1,3,8197
"52356",1,1,2,2,8210
"52356",1,1,4,1,8215
"52356",2,1,1,3,8224
"52356",2,1,2,4,8269
"52356",1,1,4,4,8289
"52356",2,1,2,5,8298
"52356",1,1,4,2,8312
"52356",1,1,4,5,8340
"52356",1,1,2,3,8344
"52356",1,1,4,5,8347
"52356",1,1,3,3,8350
"52356",1,1,2,4,8353
"52356",1,1,4,5,8355
"52356",1,1,3,4,8358
"52356",2,1,2,1,8364
"52356",1,1,4,5,8370
"52356",1,1,3,4,8381
"52001",3,1,2,2,8413
"52001",1,1,2,4,8428
"52356",2,1,2,2,8460
"52001",1,1,2,1,8463
"52001",2,1,2,3,8484
"52356",1,1,2,3,8485
"52001",2,1,2,2,8503
"52001",2,1,2,3,8529
"52001",2,1,2,3,8564
"52001",1,1,2,4,8585
"52001",2,1,2,2,8629
"52001",2,1,2,3,8670
"52001",2,1,2,2,8708
"52001",2,1,2,3,8770
"52001",2,1,2,3,8775
"52001",1,1,2,3,8781
"52001",2,1,2,4,8789
"52001",2,1,2,5,8793
"52001",1,1,3,7,8811
"52001",2,1,2,2,8862
"52001",2,1,2,3,8895
"52001",1,1,2,6,8918
"52001",2,1,2,1,8928
"52356",1,1,2,4,8943
"52001",2,1,1,1,8947
"52001",1,1,2,3,8951
"52001",2,1,1,3,8961
"52356",2,1,2,4,8964
"52001",2,1,2,2,8971
"52001",2,1,2,3,8975
"52356",2,1,2,5,8977
"52001",2,1,1,5,8993
"52001",2,1,2,4,8997
"52001",2,1,2,3,9010
"52001",2,1,1,5,9021
"52001",1,1,1,3,9034
"52001",2,1,2,6,9057
"52001",2,1,2,4,9076
"52001",1,1,2,5,9098
"52001",2,1,2,6,9112
"52001",1,1,2,4,9129
"52001",2,1,2,2,9151
"52001",1,1,2,4,9164
"52001",2,1,2,3,9165
"52001",2,1,2,3,9166
"52001",1,1,2,3,9171
"52001",1,1,2,3,9177
"52001",2,1,1,4,9238
"52001",2,1,1,3,9255
"52001",2,1,1,2,9285
"52001",1,1,1,2,9394
"52001",2,1,3,3,9825
"52001",1,1,1,4,9844
"52001",1,1,1,7,9871
"52001",2,1,1,7,9888
"52001",2,1,2,4,9906
"52001",1,1,1,5,9913
"52001",2,1,1,4,9926
"52001",3,1,2,3,9928
"52001",1,1,1,5,9946
"52001",2,1,2,2,9947
"52001",3,1,2,4,9954
"52001",2,1,1,4,9956
"52001",1,1,1,3,9968
"52001",2,1,2,5,9973
"52001",2,1,1,3,9992
"52001",2,1,2,4,10000
"52001",3,1,2,2,10009
"52001",2,1,2,3,10016
"52001",2,1,2,5,10024
"52001",2,1,2,2,10033
"52356",2,1,3,3,10129
"52356",2,1,3,1,10167
"52001",2,1,1,2,10188
"52356",2,1,3,2,10198
"52001",2,1,1,3,10204
"52001",1,1,3,5,10230
"52001",1,1,3,5,10245
"52356",1,1,3,3,10261
"52356",2,1,3,3,10279
"52001",1,1,3,3,10294
"52356",1,1,3,3,10303
"52001",1,1,3,4,10310
"52356",1,1,3,5,10320
"52001",2,1,3,2,10328
"52001",2,1,3,4,10346
"52001",1,1,3,5,10364
"52001",1,1,3,2,10381
"52001",1,1,2,1,10404
"52356",2,1,2,4,10481
"52356",1,1,2,3,10492
"52356",1,1,3,5,10503
