"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","M_01","M_02","M_03","M_04","M_05","M_06","M_07","M_08","M_08_VALOR","M_08_TEXTO","M_09_C","M_09_D","M_09_E","M_09_F","M_09_G","M_10_A","M_10_B","M_10_C","M_10_D","M_10_E","M_10_F","M_10_G","M_10_H","M_10_I","M_10_J","M_10_K","M_10_L","M_10_M","M_10_N","M_10_O"
7799,"54001",1,1,2,9,3,1,3,1,2,4000,2,1,2000,"DOS MIL PESOS",1,1,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2
10029,"54001",1,1,2,5,1,1,3,2,NA,NA,6,1,7000,"DIEZ MIL PESOS",1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15101,"54498",1,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18012,"54001",1,1,2,5,3,1,4,1,12,10000,12,1,1000,"MIL PESOS COLOMBIANOS",NA,NA,NA,1,NA,2,2,2,1,2,1,1,1,2,2,1,2,2,2,1
19396,"54498",1,1,2,2,3,1,2,2,NA,NA,2,1,4000,"CUATRO MIL PESOS",NA,1,NA,NA,NA,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2
39839,"54001",1,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43395,"54001",1,1,8,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46881,"54001",1,1,1,5,3,1,2,1,1,2000,1,1,2000,"DOS MIL PESOS",NA,1,NA,NA,NA,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1
