"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
460,19001,2,1,3,2,1,1,1,NA,0,19,1,1,6,1,48,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,1,0,5,511,1,1,1,1,1,1,24,1,2,2,1,1,1,1,1,1
460,19001,2,1,3,2,1,1,1,NA,0,19,1,1,6,1,48,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,1,0,5,511,1,1,1,1,1,2,17,2,2,2,NA,NA,2,1,2,NA
498,19001,1,1,3,2,1,1,1,NA,0,19,2,4,NA,NA,NA,1,1,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,2,1,2,9,6,0,5,513,1,2,2,1,2,2,54,3,3,1,1,1,2,1,2,1
498,19001,1,1,3,2,1,1,1,NA,0,19,2,4,NA,NA,NA,1,1,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,2,1,2,9,6,0,5,513,1,2,2,1,2,2,91,1,3,3,NA,NA,1,1,1,NA
532,19001,2,1,3,1,1,1,1,NA,0,19,2,3,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,6,0,5,511,1,2,1,1,1,2,20,1,2,2,1,1,1,1,1,1
550,19001,1,1,3,5,1,1,1,NA,0,19,2,3,NA,NA,NA,1,3,4,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,1,1,2,NA,5,1,5,9,6,0,5,511,1,2,5,1,5,2,20,7,3,2,1,1,5,1,5,1
550,19001,1,1,3,5,1,1,1,NA,0,19,2,3,NA,NA,NA,1,3,4,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,1,1,2,NA,5,1,5,9,6,0,5,511,1,2,5,1,5,1,32,7,3,2,NA,NA,2,1,2,NA
550,19001,1,1,3,5,1,1,1,NA,0,19,2,3,NA,NA,NA,1,3,4,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,1,1,2,NA,5,1,5,9,6,0,5,511,1,2,5,1,5,1,33,1,3,2,NA,NA,1,1,1,NA
550,19001,1,1,3,5,1,1,1,NA,0,19,2,3,NA,NA,NA,1,3,4,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,1,1,2,NA,5,1,5,9,6,0,5,511,1,2,5,1,5,1,27,7,3,2,NA,NA,4,1,4,NA
550,19001,1,1,3,5,1,1,1,NA,0,19,2,3,NA,NA,NA,1,3,4,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,1,1,2,NA,5,1,5,9,6,0,5,511,1,2,5,1,5,2,30,7,3,2,NA,NA,3,1,3,NA
556,19001,1,1,6,2,1,1,1,NA,0,19,2,7,NA,NA,NA,1,1,4,2,2,4,4,4,3,4,3,4,4,4,4,4,4,4,4,1,2,1,1,2,NA,1,1,1,9,3,1,8,801,1,1,1,1,1,1,65,1,3,3,1,1,1,1,1,1
556,19001,1,1,6,2,1,1,1,NA,0,19,2,7,NA,NA,NA,1,1,4,2,2,4,4,4,3,4,3,4,4,4,4,4,4,4,4,1,2,1,1,2,NA,1,1,1,9,3,1,8,801,1,1,1,1,1,2,66,2,3,3,NA,NA,2,1,2,NA
607,19001,1,1,3,3,1,1,1,NA,0,19,1,6,NA,NA,NA,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,2,2,NA,1,1,1,9,6,0,7,700,1,1,1,1,1,1,3,8,2,1,NA,NA,3,1,3,NA
607,19001,1,1,3,3,1,1,1,NA,0,19,1,6,NA,NA,NA,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,2,2,NA,1,1,1,9,6,0,7,700,1,1,1,1,1,1,51,1,3,3,1,1,1,1,1,1
607,19001,1,1,3,3,1,1,1,NA,0,19,1,6,NA,NA,NA,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,2,2,NA,1,1,1,9,6,0,7,700,1,1,1,1,1,2,35,8,2,2,NA,NA,2,1,2,NA
610,19001,1,1,6,3,1,1,1,NA,0,19,1,1,12,1,48,1,1,3,2,2,4,4,3,3,4,1,2,3,2,3,4,3,4,4,1,2,1,2,2,NA,3,1,3,9,6,0,7,705,1,1,3,1,3,2,70,2,3,3,NA,NA,2,1,2,NA
610,19001,1,1,6,3,1,1,1,NA,0,19,1,1,12,1,48,1,1,3,2,2,4,4,3,3,4,1,2,3,2,3,4,3,4,4,1,2,1,2,2,NA,3,1,3,9,6,0,7,705,1,1,3,1,3,1,74,1,3,3,NA,NA,1,1,1,NA
610,19001,1,1,6,3,1,1,1,NA,0,19,1,1,12,1,48,1,1,3,2,2,4,4,3,3,4,1,2,3,2,3,4,3,4,4,1,2,1,2,2,NA,3,1,3,9,6,0,7,705,1,1,3,1,3,1,33,3,1,1,1,1,3,1,3,1
629,19001,1,1,3,2,1,1,1,NA,0,19,2,2,NA,NA,NA,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,0,7,700,1,2,2,1,2,2,48,3,1,2,1,1,2,1,2,1
629,19001,1,1,3,2,1,1,1,NA,0,19,2,2,NA,NA,NA,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,0,7,700,1,2,2,1,2,1,78,1,3,3,NA,NA,1,1,1,NA
634,19001,1,1,6,2,1,1,1,NA,0,19,1,1,11,2,48,1,1,4,2,2,4,4,4,3,4,3,3,4,3,3,4,3,3,4,2,NA,2,NA,2,NA,1,1,1,9,6,0,7,705,1,1,1,1,1,2,82,6,3,3,NA,NA,2,1,2,NA
634,19001,1,1,6,2,1,1,1,NA,0,19,1,1,11,2,48,1,1,4,2,2,4,4,4,3,4,3,3,4,3,3,4,3,3,4,2,NA,2,NA,2,NA,1,1,1,9,6,0,7,705,1,1,1,1,1,1,63,1,3,1,1,1,1,1,1,1
886,19001,2,1,3,5,1,1,1,NA,0,19,1,1,12,5,7,1,3,1,2,2,4,4,4,4,4,3,2,4,4,4,4,4,4,4,1,9,1,1,1,1,2,1,2,1,3,3,6,602,1,2,2,1,2,1,1,3,1,1,NA,NA,5,1,5,NA
886,19001,2,1,3,5,1,1,1,NA,0,19,1,1,12,5,7,1,3,1,2,2,4,4,4,4,4,3,2,4,4,4,4,4,4,4,1,9,1,1,1,1,2,1,2,1,3,3,6,602,1,2,2,1,2,1,11,3,2,1,NA,NA,3,1,3,NA
886,19001,2,1,3,5,1,1,1,NA,0,19,1,1,12,5,7,1,3,1,2,2,4,4,4,4,4,3,2,4,4,4,4,4,4,4,1,9,1,1,1,1,2,1,2,1,3,3,6,602,1,2,2,1,2,1,33,1,2,2,NA,NA,1,1,1,NA
886,19001,2,1,3,5,1,1,1,NA,0,19,1,1,12,5,7,1,3,1,2,2,4,4,4,4,4,3,2,4,4,4,4,4,4,4,1,9,1,1,1,1,2,1,2,1,3,3,6,602,1,2,2,1,2,1,10,3,2,1,NA,NA,4,1,4,NA
886,19001,2,1,3,5,1,1,1,NA,0,19,1,1,12,5,7,1,3,1,2,2,4,4,4,4,4,3,2,4,4,4,4,4,4,4,1,9,1,1,1,1,2,1,2,1,3,3,6,602,1,2,2,1,2,2,26,2,2,2,1,1,2,1,2,1
931,19001,1,1,2,6,1,1,1,NA,0,19,2,3,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,6,0,4,409,NA,NA,3,1,3,1,3,5,2,1,NA,NA,4,1,4,NA
931,19001,1,1,2,6,1,1,1,NA,0,19,2,3,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,6,0,4,409,NA,NA,3,1,3,1,16,5,2,1,1,1,3,1,3,1
931,19001,1,1,2,6,1,1,1,NA,0,19,2,3,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,6,0,4,409,NA,NA,3,1,3,2,60,1,2,2,NA,NA,1,1,1,NA
931,19001,1,1,2,6,1,1,1,NA,0,19,2,3,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,6,0,4,409,NA,NA,3,1,3,2,3,8,2,1,NA,NA,6,1,6,NA
931,19001,1,1,2,6,1,1,1,NA,0,19,2,3,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,6,0,4,409,NA,NA,3,1,3,2,22,5,2,1,NA,NA,5,1,5,NA
931,19001,1,1,2,6,1,1,1,NA,0,19,2,3,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,6,0,4,409,NA,NA,3,1,3,2,39,3,2,1,NA,NA,2,1,2,NA
973,19001,1,1,2,5,1,1,1,NA,0,19,2,3,NA,NA,NA,1,1,3,1,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,2,5,511,1,2,2,1,2,1,24,5,2,1,NA,NA,3,1,3,NA
973,19001,1,1,2,5,1,1,1,NA,0,19,2,3,NA,NA,NA,1,1,3,1,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,2,5,511,1,2,2,1,2,1,77,1,3,3,NA,NA,1,1,1,NA
973,19001,1,1,2,5,1,1,1,NA,0,19,2,3,NA,NA,NA,1,1,3,1,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,2,5,511,1,2,2,1,2,2,43,3,1,3,1,1,2,1,2,1
973,19001,1,1,2,5,1,1,1,NA,0,19,2,3,NA,NA,NA,1,1,3,1,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,2,5,511,1,2,2,1,2,1,12,5,2,1,NA,NA,4,1,4,NA
973,19001,1,1,2,5,1,1,1,NA,0,19,2,3,NA,NA,NA,1,1,3,1,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,6,2,5,511,1,2,2,1,2,2,88,8,3,3,NA,NA,5,1,5,NA
995,19001,1,1,2,1,1,1,1,NA,0,19,1,2,NA,NA,NA,1,3,4,2,2,4,4,5,5,4,2,5,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,1,6,0,7,705,1,2,1,1,1,2,32,1,2,2,1,1,1,1,1,1
1013,19001,2,1,2,2,1,1,1,NA,0,19,1,1,8,1,56,1,1,4,2,1,4,4,5,5,5,4,3,3,4,4,4,4,4,4,1,2,1,1,2,NA,1,1,1,5,5,1,6,602,1,2,1,1,1,2,30,1,2,2,1,1,1,1,1,1
