"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
1397,5001,2,1,3,2,1,1,1,NA,0,5,1,4,NA,NA,NA,1,1,3,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,2,1,1,2,NA,2,1,2,9,1,2,5,511,1,2,2,1,2,1,68,1,2,2,NA,NA,1,1,1,NA
1397,5001,2,1,3,2,1,1,1,NA,0,5,1,4,NA,NA,NA,1,1,3,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,2,1,1,2,NA,2,1,2,9,1,2,5,511,1,2,2,1,2,2,51,2,2,2,1,1,2,1,2,1
1402,5001,2,1,6,4,1,1,1,NA,0,5,1,4,NA,NA,NA,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,2,1,2,9,3,2,7,705,1,2,2,1,2,2,17,3,1,1,NA,NA,4,1,4,NA
1402,5001,2,1,6,4,1,1,1,NA,0,5,1,4,NA,NA,NA,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,2,1,2,9,3,2,7,705,1,2,2,1,2,2,26,3,1,1,NA,NA,3,1,3,NA
1402,5001,2,1,6,4,1,1,1,NA,0,5,1,4,NA,NA,NA,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,2,1,2,9,3,2,7,705,1,2,2,1,2,1,56,1,3,2,NA,NA,1,1,1,NA
1402,5001,2,1,6,4,1,1,1,NA,0,5,1,4,NA,NA,NA,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,2,1,2,9,3,2,7,705,1,2,2,1,2,2,57,2,3,3,1,1,2,1,2,1
1420,5001,1,1,3,2,1,1,1,NA,0,5,1,1,6,1,52,1,1,4,2,2,3,4,2,3,4,2,2,3,3,4,4,4,4,4,1,2,1,2,1,1,1,1,1,5,1,0,7,710,1,2,1,1,1,1,26,2,2,2,NA,NA,2,1,2,NA
1420,5001,1,1,3,2,1,1,1,NA,0,5,1,1,6,1,52,1,1,4,2,2,3,4,2,3,4,2,2,3,3,4,4,4,4,4,1,2,1,2,1,1,1,1,1,5,1,0,7,710,1,2,1,1,1,2,35,1,2,2,1,1,1,1,1,1
1430,5001,2,1,5,3,1,1,1,NA,0,5,1,6,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,3,1,7,710,1,2,2,1,2,1,28,3,1,1,NA,NA,3,1,3,NA
1430,5001,2,1,5,3,1,1,1,NA,0,5,1,6,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,3,1,7,710,1,2,2,1,2,1,66,1,2,2,NA,NA,1,1,1,NA
1430,5001,2,1,5,3,1,1,1,NA,0,5,1,6,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,3,1,7,710,1,2,2,1,2,2,60,2,2,2,1,1,2,1,2,1
1431,5001,2,1,6,3,1,1,1,NA,0,5,1,5,NA,NA,NA,1,1,5,2,2,4,4,3,3,3,3,3,3,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,5,2,7,700,1,1,1,1,1,2,78,6,3,3,NA,NA,2,1,2,NA
1431,5001,2,1,6,3,1,1,1,NA,0,5,1,5,NA,NA,NA,1,1,5,2,2,4,4,3,3,3,3,3,3,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,5,2,7,700,1,1,1,1,1,1,56,8,2,2,NA,NA,3,1,3,NA
1431,5001,2,1,6,3,1,1,1,NA,0,5,1,5,NA,NA,NA,1,1,5,2,2,4,4,3,3,3,3,3,3,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,5,2,7,700,1,1,1,1,1,1,57,1,3,2,1,1,1,1,1,1
1446,5001,1,1,2,5,1,1,1,NA,0,5,1,1,7,1,96,1,1,4,2,1,4,3,5,2,2,4,4,4,4,2,4,4,4,4,1,2,1,1,1,1,2,1,2,9,5,2,3,305,1,2,2,1,2,2,22,3,3,1,NA,NA,3,1,3,NA
1446,5001,1,1,2,5,1,1,1,NA,0,5,1,1,7,1,96,1,1,4,2,1,4,3,5,2,2,4,4,4,4,2,4,4,4,4,1,2,1,1,1,1,2,1,2,9,5,2,3,305,1,2,2,1,2,2,38,3,3,1,1,1,2,1,2,1
1446,5001,1,1,2,5,1,1,1,NA,0,5,1,1,7,1,96,1,1,4,2,1,4,3,5,2,2,4,4,4,4,2,4,4,4,4,1,2,1,1,1,1,2,1,2,9,5,2,3,305,1,2,2,1,2,2,56,1,3,3,NA,NA,1,1,1,NA
1446,5001,1,1,2,5,1,1,1,NA,0,5,1,1,7,1,96,1,1,4,2,1,4,3,5,2,2,4,4,4,4,2,4,4,4,4,1,2,1,1,1,1,2,1,2,9,5,2,3,305,1,2,2,1,2,1,20,5,2,1,NA,NA,4,1,4,NA
1446,5001,1,1,2,5,1,1,1,NA,0,5,1,1,7,1,96,1,1,4,2,1,4,3,5,2,2,4,4,4,4,2,4,4,4,4,1,2,1,1,1,1,2,1,2,9,5,2,3,305,1,2,2,1,2,2,15,5,2,1,NA,NA,5,1,5,NA
1450,5001,3,1,2,2,1,1,1,NA,0,5,2,4,NA,NA,NA,1,1,4,9,9,4,4,2,4,2,4,2,4,4,3,3,4,3,3,1,1,1,1,2,NA,2,1,2,9,6,0,3,300,1,2,2,1,2,2,64,1,2,2,NA,NA,1,1,1,NA
1450,5001,3,1,2,2,1,1,1,NA,0,5,2,4,NA,NA,NA,1,1,4,9,9,4,4,2,4,2,4,2,4,4,3,3,4,3,3,1,1,1,1,2,NA,2,1,2,9,6,0,3,300,1,2,2,1,2,2,33,3,2,1,1,1,2,1,2,1
1455,5001,3,1,1,3,1,1,1,NA,0,5,1,1,12,4,4,2,NA,4,1,2,4,4,5,5,5,4,3,3,4,4,4,5,5,5,2,NA,1,2,1,2,1,1,1,9,2,1,3,303,1,1,1,1,1,1,5,3,1,1,NA,NA,3,1,3,NA
1455,5001,3,1,1,3,1,1,1,NA,0,5,1,1,12,4,4,2,NA,4,1,2,4,4,5,5,5,4,3,3,4,4,4,5,5,5,2,NA,1,2,1,2,1,1,1,9,2,1,3,303,1,1,1,1,1,1,23,1,2,2,1,1,1,1,1,1
1455,5001,3,1,1,3,1,1,1,NA,0,5,1,1,12,4,4,2,NA,4,1,2,4,4,5,5,5,4,3,3,4,4,4,5,5,5,2,NA,1,2,1,2,1,1,1,9,2,1,3,303,1,1,1,1,1,2,23,2,2,2,NA,NA,2,1,2,NA
1814,5001,2,1,6,3,1,1,1,NA,0,5,1,1,11,4,45,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,6,0,8,812,1,2,1,1,1,2,31,1,1,1,1,1,1,1,1,1
1814,5001,2,1,6,3,1,1,1,NA,0,5,1,1,11,4,45,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,6,0,8,812,1,2,1,1,1,2,67,6,3,3,NA,NA,3,1,3,NA
1814,5001,2,1,6,3,1,1,1,NA,0,5,1,1,11,4,45,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,6,0,8,812,1,2,1,1,1,1,78,6,3,3,NA,NA,2,1,2,NA
1815,5266,2,1,2,2,1,1,1,NA,0,5,1,1,6,4,82,1,1,5,2,2,2,2,4,4,4,2,2,3,4,4,4,4,4,4,1,9,1,2,2,NA,1,1,1,9,2,2,3,305,1,1,1,1,1,2,58,2,2,3,NA,NA,2,1,2,NA
1815,5266,2,1,2,2,1,1,1,NA,0,5,1,1,6,4,82,1,1,5,2,2,2,2,4,4,4,2,2,3,4,4,4,4,4,4,1,9,1,2,2,NA,1,1,1,9,2,2,3,305,1,1,1,1,1,1,64,1,3,3,1,1,1,1,1,1
1825,5001,1,1,2,5,1,1,1,NA,0,5,2,7,NA,NA,NA,1,3,4,1,1,4,4,4,4,4,2,2,3,4,4,4,4,4,4,1,1,1,1,1,1,4,1,4,9,6,0,4,400,1,1,4,1,4,1,25,3,1,1,NA,NA,5,1,5,NA
1825,5001,1,1,2,5,1,1,1,NA,0,5,2,7,NA,NA,NA,1,3,4,1,1,4,4,4,4,4,2,2,3,4,4,4,4,4,4,1,1,1,1,1,1,4,1,4,9,6,0,4,400,1,1,4,1,4,1,31,3,1,1,1,1,4,1,4,1
1825,5001,1,1,2,5,1,1,1,NA,0,5,2,7,NA,NA,NA,1,3,4,1,1,4,4,4,4,4,2,2,3,4,4,4,4,4,4,1,1,1,1,1,1,4,1,4,9,6,0,4,400,1,1,4,1,4,1,53,1,2,2,NA,NA,1,1,1,NA
1825,5001,1,1,2,5,1,1,1,NA,0,5,2,7,NA,NA,NA,1,3,4,1,1,4,4,4,4,4,2,2,3,4,4,4,4,4,4,1,1,1,1,1,1,4,1,4,9,6,0,4,400,1,1,4,1,4,2,33,3,1,1,NA,NA,3,1,3,NA
1825,5001,1,1,2,5,1,1,1,NA,0,5,2,7,NA,NA,NA,1,3,4,1,1,4,4,4,4,4,2,2,3,4,4,4,4,4,4,1,1,1,1,1,1,4,1,4,9,6,0,4,400,1,1,4,1,4,2,50,2,2,2,NA,NA,2,1,2,NA
1829,5001,2,1,6,2,1,1,1,NA,0,5,1,1,9,4,60,1,1,5,2,2,3,4,3,3,3,2,2,3,4,4,4,4,4,4,1,2,2,NA,2,NA,1,1,1,9,3,0,8,800,1,1,1,1,1,1,56,1,2,2,1,1,1,1,1,1
1829,5001,2,1,6,2,1,1,1,NA,0,5,1,1,9,4,60,1,1,5,2,2,3,4,3,3,3,2,2,3,4,4,4,4,4,4,1,2,2,NA,2,NA,1,1,1,9,3,0,8,800,1,1,1,1,1,2,62,2,2,2,NA,NA,2,1,2,NA
1832,5001,1,1,2,1,1,1,1,NA,0,5,1,1,5,1,48,1,1,4,2,2,4,4,1,1,2,1,1,2,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,5,0,3,305,1,1,1,1,1,1,51,1,2,2,1,1,1,1,1,1
1839,5266,2,1,2,4,1,1,1,NA,0,5,1,1,3,5,48,1,1,3,1,1,4,4,3,2,4,2,3,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,3,2,7,700,1,2,2,1,2,2,14,3,1,1,NA,NA,3,1,3,NA
1839,5266,2,1,2,4,1,1,1,NA,0,5,1,1,3,5,48,1,1,3,1,1,4,4,3,2,4,2,3,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,3,2,7,700,1,2,2,1,2,2,47,2,3,2,1,1,2,1,2,1
1839,5266,2,1,2,4,1,1,1,NA,0,5,1,1,3,5,48,1,1,3,1,1,4,4,3,2,4,2,3,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,3,2,7,700,1,2,2,1,2,1,50,1,3,3,NA,NA,1,1,1,NA
1839,5266,2,1,2,4,1,1,1,NA,0,5,1,1,3,5,48,1,1,3,1,1,4,4,3,2,4,2,3,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,3,2,7,700,1,2,2,1,2,2,24,3,1,1,NA,NA,4,1,4,NA
