"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"88001",2,1,2,2,20329
"88001",1,1,1,2,20375
"88001",2,1,2,1,20388
"88001",1,1,1,1,20411
"88001",1,1,2,2,20418
"88001",2,1,2,1,20432
"88001",1,1,1,2,20447
"88001",1,1,2,3,20450
"88001",2,1,1,3,20461
"88001",1,1,2,6,20462
"88001",1,1,1,6,20468
"88001",3,1,3,1,20481
"88001",1,1,1,4,20489
"88001",1,1,1,3,20491
"88001",1,1,3,4,20496
"88001",1,1,2,3,20500
"88001",1,1,2,2,20502
"88001",1,1,1,2,20508
"88001",1,1,1,6,20512
"88001",2,1,2,2,20513
"88001",3,1,1,3,20516
"88001",1,1,2,5,20517
"88001",1,1,1,3,20520
"88001",1,1,1,4,20522
"88001",1,1,3,7,20525
"88001",1,1,1,2,20527
"88001",2,1,1,4,20528
"88001",1,1,1,1,20533
"88001",1,1,3,2,20534
"88001",2,1,3,3,20554
"88001",2,1,1,2,20565
"88001",1,1,2,4,20570
"88001",1,1,1,4,20575
"88001",1,1,1,3,20615
"88001",2,1,3,3,20623
"88001",1,1,2,4,20626
"88001",1,1,3,1,20872
"88001",2,1,2,1,20885
"88001",1,1,1,2,21346
"88001",3,1,2,2,21460
"88001",2,1,2,2,21524
"88001",3,1,1,1,21608
"88001",2,1,1,4,21675
"88001",2,1,2,1,21735
"88001",2,1,1,5,21769
"88001",2,1,3,3,21783
"88001",2,1,3,3,21832
"88001",2,1,3,4,21876
"88001",1,1,1,2,21877
"88001",1,1,3,2,21954
"88001",1,1,4,2,21965
"88001",2,1,2,1,22005
"88001",2,1,2,1,22010
"88001",1,1,3,1,22052
"88001",2,1,3,2,22057
"88001",2,1,2,3,22087
"88001",2,1,3,2,22104
"88001",2,1,3,3,22145
"88001",2,1,2,2,22171
"88001",2,1,3,2,22194
"88001",2,1,2,1,22209
"88001",1,1,3,3,22214
"88001",2,1,1,6,22225
"88001",1,1,1,6,22229
"88001",1,1,3,2,22240
"88001",1,1,2,2,22242
"88001",2,1,1,2,22247
"88001",1,1,1,1,22249
"88001",2,1,1,4,22250
"88001",2,1,1,2,22251
"88001",3,1,1,1,22252
"88001",1,1,1,2,22253
"88001",3,1,1,3,22254
"88001",1,1,2,4,22255
"88001",2,1,2,5,22274
"88001",3,1,1,5,22275
"88001",2,1,1,5,22276
"88001",1,1,1,6,22278
"88001",1,1,1,7,22280
"88001",2,1,2,7,22283
"88001",3,1,1,8,22287
"88001",3,1,3,1,24180
"88001",2,1,2,2,24220
"88001",1,1,1,3,24262
"88001",1,1,3,8,25001
"88001",3,1,1,1,25207
"88001",2,1,3,1,25236
"88001",2,1,1,3,25268
"88001",1,1,1,2,25290
"88001",2,1,1,2,25315
"88001",2,1,2,1,25343
"88001",1,1,4,3,25356
"88001",2,1,1,2,25361
"88001",2,1,2,3,25615
"88001",1,1,2,5,25777
"88001",1,1,1,4,25871
"88001",1,1,1,5,25891
"88001",1,1,2,6,25910
"88001",2,1,3,3,25921
"88001",1,1,2,3,25934
"88001",1,1,2,6,25954
"88001",1,1,2,2,25965
"88001",1,1,2,1,25973
"88001",3,1,1,1,25986
"88001",2,1,2,3,26070
"88001",1,1,1,1,26072
"88001",2,1,2,3,26074
"88001",2,1,3,1,26077
"88001",1,1,1,2,26080
"88001",1,1,2,6,26082
"88001",1,1,1,4,26088
"88001",1,1,3,5,26092
"88001",3,1,2,3,26101
"88001",2,1,3,2,26935
"88001",2,1,1,1,26982
"88001",2,1,3,4,27023
"88001",2,1,3,1,27053
"88001",2,1,3,1,27095
"88001",1,1,3,5,27137
"88001",1,1,3,3,27170
"88001",1,1,2,2,27197
"88001",1,1,3,3,27202
"88001",1,1,3,1,27268
"88001",1,1,1,1,27280
"88001",1,1,1,5,27284
"88001",1,1,3,6,27306
"88001",1,1,3,2,27314
"88001",2,1,2,4,27327
"88001",2,1,3,4,27328
"88001",1,1,2,4,27678
"88001",4,1,1,4,27703
"88001",1,1,2,3,27735
"88001",2,1,3,3,27748
"88001",1,1,2,3,27752
"88001",1,1,3,3,27765
"88001",2,1,3,3,27768
"88001",2,1,3,1,27787
"88001",2,1,3,1,27792
"88001",2,1,3,2,27797
"88001",2,1,3,1,27798
"88001",2,1,2,1,27800
"88001",2,1,2,2,27805
"88001",2,1,1,1,27813
"88001",2,1,2,1,27824
"88001",2,1,1,1,27840
"88001",2,1,2,1,27846
"88001",1,1,1,1,27853
"88001",2,1,2,1,27856
"88001",2,1,2,5,27873
"88001",1,1,2,5,27878
"88001",2,1,3,2,27885
"88001",1,1,2,1,27971
"88001",1,1,2,1,27974
"88001",2,1,1,1,27976
"88001",1,1,2,2,27978
"88001",2,1,1,3,27986
"88001",2,1,2,5,27989
"88001",2,1,2,1,27990
"88001",3,1,2,1,27994
"88001",1,1,1,4,27997
"88001",1,1,1,3,28002
"88001",1,1,1,3,28005
"88001",2,1,1,5,28007
"88001",1,1,1,4,28011
"88001",2,1,3,3,28012
"88001",1,1,2,1,28015
"88001",1,1,3,1,28019
"88001",2,1,1,1,28022
"88001",1,1,3,1,28023
"88001",1,1,2,1,28059
"88001",2,1,2,4,28064
"88001",2,1,3,1,28069
"88001",2,1,2,4,28083
"88001",2,1,1,2,28128
"88001",2,1,1,5,28130
"88001",1,1,2,3,28133
"88001",2,1,2,1,28136
"88001",1,1,3,3,28137
"88001",1,1,3,3,28140
"88001",1,1,3,3,28144
"88001",2,1,3,1,28146
"88001",1,1,2,3,28150
"88001",2,1,3,3,28154
"88001",1,1,2,3,28158
"88001",2,1,3,4,28162
"88001",1,1,3,4,28170
"88001",1,1,3,4,28178
"88001",2,1,3,2,28198
"88001",2,1,2,1,28616
"88001",2,1,2,3,28697
"88001",2,1,2,1,28832
"88001",2,1,2,3,28856
"88001",2,1,2,4,28918
"88001",1,1,3,1,28948
"88001",1,1,1,2,28990
"88001",2,1,2,2,29066
"88001",1,1,1,2,29120
"88001",2,1,2,2,29180
"88001",2,1,3,3,29333
"88001",2,1,3,2,29391
"88001",2,1,2,5,29439
"88001",1,1,1,3,29448
"88001",1,1,3,4,29479
"88001",2,1,2,4,29526
"88001",1,1,1,8,29557
"88001",1,1,3,4,29608
"88001",2,1,1,2,29635
"88001",1,1,3,3,29661
"88001",2,1,3,2,29677
"88001",2,1,4,1,29689
"88001",2,1,2,2,29698
"88001",2,1,2,3,29706
"88001",2,1,3,4,29709
"88001",2,1,1,2,29712
"88001",1,1,3,2,29713
"88001",1,1,3,2,29716
"88001",2,1,2,2,29717
"88001",2,1,1,2,29764
"88001",1,1,2,2,29765
"88001",2,1,1,1,29766
"88001",2,1,2,2,29767
"88001",2,1,2,5,29783
"88001",1,1,1,4,29788
"88001",2,1,1,3,29794
"88001",2,1,2,3,29800
"88001",1,1,1,3,29806
"88001",2,1,2,3,29817
"88001",2,1,2,2,29844
"88001",2,1,2,1,29869
"88001",1,1,2,2,30971
"88001",2,1,2,2,30994
"88001",1,1,2,2,31002
"88001",1,1,2,2,31010
"88001",2,1,2,3,31018
"88001",1,1,2,1,31024
"88001",2,1,2,2,31026
"88001",1,1,2,2,31031
"88001",1,1,3,4,31961
"88001",3,1,2,1,32098
"88001",2,1,3,2,32221
"88001",1,1,2,4,32261
"88001",1,1,2,1,32301
"88001",1,1,2,2,32352
"88001",1,1,2,3,32413
"88001",3,1,2,2,32488
"88001",1,1,2,3,32502
"88001",1,1,2,2,32566
"88001",1,1,1,1,32569
"88001",1,1,4,3,32607
"88001",1,1,2,3,32618
"88001",2,1,2,4,32646
"88001",1,1,2,2,32651
"88001",1,1,2,6,32673
"88001",1,1,2,4,32695
"88001",2,1,2,1,32705
"88001",1,1,3,4,32718
"88001",3,1,2,1,32729
"88001",1,1,3,3,32749
"88001",1,1,2,4,32839
"88001",1,1,2,1,33066
"88001",1,1,2,5,33117
"88001",2,1,3,2,33297
"88001",1,1,3,2,33379
"88001",1,1,2,2,33422
"88001",2,1,2,1,33514
"88001",1,1,1,1,33603
"88001",2,1,2,4,33610
"88001",2,1,4,1,33633
"88001",1,1,5,2,33939
"88001",1,1,5,2,33975
"88001",1,1,2,4,34077
"88001",2,1,6,3,34160
"88001",1,1,2,2,34192
"88001",1,1,3,2,34225
"88001",2,1,1,2,34240
"88001",2,1,2,3,34256
"88001",1,1,4,2,34262
"88001",1,1,2,2,34538
"88001",1,1,3,2,34669
"88001",1,1,2,3,35093
"88001",2,1,3,3,35176
"88001",1,1,1,5,35208
"88001",2,1,4,4,35220
"88001",2,1,3,4,35242
"88001",1,1,2,3,35255
"88001",1,1,4,3,35282
"88001",2,1,2,1,35304
"88001",1,1,2,2,35315
"88001",1,1,3,2,35334
"88001",2,1,2,2,35341
"88001",2,1,2,3,35354
"88001",1,1,2,2,35356
"88001",2,1,2,3,35378
"88001",1,1,2,2,35384
"88001",2,1,2,4,35389
"88001",1,1,2,3,35449
"88001",2,1,3,2,35478
"88001",2,1,2,2,35527
"88001",2,1,3,1,35548
"88001",3,1,1,1,35567
"88001",2,1,3,1,35576
"88001",2,1,3,4,35603
"88001",1,1,2,4,35628
"88001",2,1,2,2,35723
"88001",3,1,2,1,35729
"88001",2,1,2,1,35732
"88001",2,1,3,4,35806
"88001",1,1,3,4,35808
"88001",1,1,3,4,35810
"88001",2,1,1,5,35813
"88001",1,1,3,2,35816
"88001",3,1,2,1,35820
"88001",1,1,2,1,35823
"88001",2,1,4,1,35835
"88001",3,1,2,1,35843
"88001",1,1,2,2,35850
"88001",2,1,2,2,36430
"88001",1,1,3,4,36454
"88001",1,1,2,3,36503
"88001",2,1,3,3,36517
"88001",1,1,2,3,36550
"88001",2,1,2,1,36554
